nonlinearity,plot_variants,depth,width,p90_rel_l1_node_weighted,mean_mae_node_weighted,status,layers_compared,cd_npz,spice_npz,error
experimental,progressive_inner_tolerance,1,512,1.2566535264304984e-05,6.907685247566451e-06,ok,Layer_1;Layer_2,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_512/20260317-113706_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_512/spice_validation/validation_states_spice_layers.npz,
experimental,fixed_inner_tolerance,1,1024,0.0002689198657564267,0.0001533496498047091,needs_spice_update,Layer_1;Layer_2,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_1024/redundant/20260311-173123_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_1024/spice_validation/validation_states_spice_layers.npz,
experimental,progressive_inner_tolerance,1,1024,1.2763082553288098e-05,7.87771291769857e-06,ok,Layer_1;Layer_2,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_1024/20260317-113706_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_1024/spice_validation/validation_states_spice_layers.npz,
experimental,fixed_inner_tolerance,2,64,7.930887718658564e-05,9.120081192425236e-06,ok,Layer_1;Layer_2;Layer_3,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_64/20260311-171025_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_64/spice_validation/validation_states_spice_layers.npz,
experimental,progressive_inner_tolerance,2,64,7.961957189244209e-05,9.118499364620147e-06,ok,Layer_1;Layer_2;Layer_3,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_64/20260313-150228_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_64/spice_validation/validation_states_spice_layers.npz,
experimental,fixed_inner_tolerance,2,128,0.0009199397899910195,0.0010350432045027477,needs_spice_update,Layer_1;Layer_2;Layer_3,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_128/20260312-114258_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_128/super_high_accuracy/validation_states_spice_layers.npz,
experimental,progressive_inner_tolerance,2,128,1.3533619079228063e-05,1.4834493242362072e-05,ok,Layer_1;Layer_2;Layer_3,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_128/20260313-150244_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_128/super_high_accuracy/validation_states_spice_layers.npz,
experimental,fixed_inner_tolerance,2,256,7.418653420608252e-05,6.1721872303942545e-06,ok,Layer_1;Layer_2;Layer_3,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_256/20260311-171041_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_256/spice_validation/validation_states_spice_layers.npz,
experimental,progressive_inner_tolerance,2,256,7.417910452865455e-05,6.169970603590182e-06,ok,Layer_1;Layer_2;Layer_3,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_256/20260313-150302_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_256/spice_validation/validation_states_spice_layers.npz,
experimental,fixed_inner_tolerance,2,512,,,missing_spice_npz,,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_512/20260311-171059_experimental/validation_states.npz,,
experimental,progressive_inner_tolerance,2,512,,,missing_spice_npz,,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_512/20260313-150320_experimental/validation_states.npz,,
experimental,fixed_inner_tolerance,2,1024,,,missing_spice_npz,,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_1024/20260311-171126_experimental/validation_states.npz,,
experimental,progressive_inner_tolerance,2,1024,,,missing_spice_npz,,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_1024/20260313-150347_experimental/validation_states.npz,,
experimental,fixed_inner_tolerance,3,64,1.272795072927572e-05,2.12910436566646e-05,ok,Layer_1;Layer_2;Layer_3;Layer_4,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_64/validation/20260313-125137_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_64/validation_states_spice_layers.npz,
experimental,progressive_inner_tolerance,3,64,1.272795072927572e-05,2.1291063803155582e-05,ok,Layer_1;Layer_2;Layer_3;Layer_4,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_64/validation/20260313-151007_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_64/validation_states_spice_layers.npz,
experimental,fixed_inner_tolerance,3,128,1.4852313428213184e-05,1.2503753630455078e-05,ok,Layer_1;Layer_2;Layer_3;Layer_4,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_128/amp_4/validation/20260313-125308_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_128/amp_4/validation_states_spice_layers.npz,
experimental,progressive_inner_tolerance,3,128,1.4852313428213184e-05,1.2503477076768561e-05,ok,Layer_1;Layer_2;Layer_3;Layer_4,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_128/amp_4/validation/20260313-151035_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_128/amp_4/validation_states_spice_layers.npz,
experimental,fixed_inner_tolerance,3,256,1.1902244991167778e-05,1.039410025814222e-05,ok,Layer_1;Layer_2;Layer_3;Layer_4,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_256/validation/20260313-125843_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_256/spice_validation/validation_states_spice_layers.npz,
experimental,progressive_inner_tolerance,3,256,0.0632856452341136,0.04324670615664649,needs_spice_update,Layer_1;Layer_2;Layer_3;Layer_4,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_256/validation/20260317-161514_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_256/spice_validation/validation_states_spice_layers.npz,
experimental,progressive_inner_tolerance,3,512,,,missing_spice_npz,,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_512/validation/20260313-171929_experimental/validation_states.npz,,
single_diode_exponential,main,1,64,1.5939529255137953e-05,2.0253779809473655e-05,ok,Layer_1;Layer_2,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_64/20260311-170331_single_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_64/validation_states_spice_layers.npz,
single_diode_exponential,main,1,128,,,compare_failed,,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_128/20260316-172522_single_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_128/validation_states_spice_layers.npz,"shape mismatch Layer_2: (360, 10) vs (360, 20)"
single_diode_exponential,main,1,256,1.6334111355152485e-05,1.8776623254856095e-05,ok,Layer_1;Layer_2,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_256/20260311-170349_single_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_256/validation_states_spice_layers.npz,
single_diode_exponential,main,1,512,1.1642279633887151e-05,5.579013746189969e-06,ok,Layer_1;Layer_2,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_512/20260311-170405_single_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_512/validation_states_spice_layers.npz,
single_diode_exponential,main,1,1024,1.1352281270289233e-05,5.7672444718841725e-06,ok,Layer_1;Layer_2,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_1024/20260311-170419_single_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_1024/validation_states_spice_layers.npz,
single_diode_exponential,main,2,64,0.10335948880652478,0.025988195260342115,needs_spice_update,Layer_1;Layer_2;Layer_3,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_64/20260317-103528_single_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_64/validation_states_spice_layers.npz,
single_diode_exponential,main,2,128,1.0785640628131756e-05,4.589455741375594e-06,ok,Layer_1;Layer_2;Layer_3,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_128/20260314-160910_single_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_128/validation_states_spice_layers.npz,
single_diode_exponential,main,2,256,0.5709201367246044,0.037789844577016986,needs_spice_update,Layer_1;Layer_2;Layer_3,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_256/20260317-094836_single_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_256/validation_states_spice_layers.npz,
single_diode_exponential,main,2,512,,,missing_spice_npz,,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_512/20260317-105922_single_diode_exponential/validation_states.npz,,
single_diode_exponential,main,2,1024,,,missing_spice_npz,,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_1024/20260317-110028_single_diode_exponential/validation_states.npz,,
