status,nonlinearity,run_dir,run_npz,spice_npz,output_dir,run_npz_exists,spice_npz_exists,node_weighted_p50,node_weighted_p90,node_weighted_p99,avg_p50,avg_p90,avg_p99,returncode,stderr,stdout
ok,experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_128/amp_4/validation/20260313-125308_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_128/amp_4/validation/20260313-125308_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_128/amp_4/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_128/amp_4/validation/20260313-125308_experimental/error_npz_vs_spice,,,,,,,,,,,
missing_input,experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_256/validation/20260313-125843_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_256/validation/20260313-125843_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_256/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_256/validation/20260313-125843_experimental/error_npz_vs_spice,True,False,,,,,,,,,
missing_input,experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_64/20260317-113144_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_64/20260317-113144_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_64/redundant/20260311-172944_experimental/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_64/20260317-113144_experimental/error_npz_vs_spice,True,False,,,,,,,,,
missing_input,experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_128/20260317-113144_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_128/20260317-113144_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_128/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_128/20260317-113144_experimental/error_npz_vs_spice,True,False,,,,,,,,,
missing_input,experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_256/20260317-113706_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_256/20260317-113706_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_256/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_256/20260317-113706_experimental/error_npz_vs_spice,True,False,,,,,,,,,
missing_input,experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_512/20260317-113706_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_512/20260317-113706_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_512/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_512/20260317-113706_experimental/error_npz_vs_spice,True,False,,,,,,,,,
missing_input,experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_1024/20260317-113706_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_1024/20260317-113706_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_1024/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_1024/20260317-113706_experimental/error_npz_vs_spice,True,False,,,,,,,,,
missing_input,experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_64/20260313-150228_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_64/20260313-150228_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_64/20260311-171025_experimental/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_64/20260313-150228_experimental/error_npz_vs_spice,True,False,,,,,,,,,
ok,experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_128/20260313-150244_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_128/20260313-150244_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_128/super_high_accuracy/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_128/20260313-150244_experimental/error_npz_vs_spice,,,,,,,,,,,
missing_input,experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_256/20260313-150302_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_256/20260313-150302_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_256/20260311-171041_experimental/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_256/20260313-150302_experimental/error_npz_vs_spice,True,False,,,,,,,,,
