status,nonlinearity,plot_variant,depth,width,coord_source_rel_path,spice_source_rel_path,output_rel_path,p90_rel_l1_node_weighted,mean_mae_node_weighted,note
missing_or_failed,double_diode_exponential,hidden_1_no_newton,3,64,hidden_3/hidden_64/20260311-185700_double_diode_exponential/time_digits_validate_with_residual.log,hidden_3/hidden_64/validation_states_spice_layers.timing.json,,,,
ok,double_diode_exponential,hidden_1_no_newton,3,128,hidden_3/hidden_128/20260313-155212_double_diode_exponential/time_digits_validate_with_residual.log,hidden_3/hidden_128/excellent_trained_amp4/validation_states_spice_layers.timing.json,double_diode_exponential/hidden_3/hidden_128/20260313-155212_double_diode_exponential/error_npz_vs_spice,1.1962630650684112e-05,1.0967500526633656e-05,
no_spice_path,double_diode_exponential,hidden_1_no_newton,3,256,hidden_3/hidden_256/validation/20260317-161243_double_diode_exponential/time_digits_validate_with_residual.log,,,,,
no_spice_path,double_diode_exponential,hidden_1_no_newton,3,512,hidden_3/hidden_512/validation/20260311-185941_double_diode_exponential/time_digits_validate_with_residual.log,,,,,
missing_or_failed,experimental,fixed_inner_tolerance,1,64,hidden_1/hidden_64/20260311-172944_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_64/20260311-172944_experimental/validation_states_spice_layers.timing.json,,,,
missing_or_failed,experimental,fixed_inner_tolerance,1,128,hidden_1/hidden_128/20260312-143619_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_128/validation_states_spice_layers.timing.json,,,,
missing_or_failed,experimental,fixed_inner_tolerance,1,256,hidden_1/hidden_256/20260311-173028_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_256/validation_states_spice_layers.timing.json,,,,
missing_or_failed,experimental,fixed_inner_tolerance,1,512,hidden_1/hidden_512/20260311-173056_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_512/validation_states_spice_layers.timing.json,,,,
missing_or_failed,experimental,fixed_inner_tolerance,1,1024,hidden_1/hidden_1024/20260311-173123_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_1024/validation_states_spice_layers.timing.json,,,,
missing_or_failed,experimental,fixed_inner_tolerance,2,64,hidden_2/hidden_64/20260311-171025_experimental/time_digits_validate_with_residual.log,hidden_2/hidden_64/20260311-171025_experimental/validation_states_spice_layers.timing.json,,,,
ok,experimental,fixed_inner_tolerance,2,128,hidden_2/hidden_128/20260312-114258_experimental/time_digits_validate_with_residual.log,hidden_2/hidden_128/super_high_accuracy/validation_states_spice_layers.timing.json,experimental/hidden_2/hidden_128/20260312-114258_experimental/error_npz_vs_spice,0.0009199397899910195,0.0010350432045027479,
missing_or_failed,experimental,fixed_inner_tolerance,2,256,hidden_2/hidden_256/20260311-171041_experimental/time_digits_validate_with_residual.log,hidden_2/hidden_256/20260311-171041_experimental/validation_states_spice_layers.timing.json,,,,
no_spice_path,experimental,fixed_inner_tolerance,2,512,hidden_2/hidden_512/20260311-171059_experimental/time_digits_validate_with_residual.log,,,,,
no_spice_path,experimental,fixed_inner_tolerance,2,1024,hidden_2/hidden_1024/20260311-171126_experimental/time_digits_validate_with_residual.log,,,,,
ok,experimental,fixed_inner_tolerance,3,64,hidden_3/hidden_64/validation/20260313-125137_experimental/time_digits_validate_with_residual.log,hidden_3/hidden_64/validation_states_spice_layers.timing.json,experimental/hidden_3/hidden_64/validation/20260313-125137_experimental/error_npz_vs_spice,1.272795072927572e-05,2.1291043656664604e-05,
ok,experimental,fixed_inner_tolerance,3,128,hidden_3/hidden_128/amp_4/validation/20260313-125308_experimental/time_digits_validate_with_residual.log,hidden_3/hidden_128/amp_4/validation_states_spice_layers.timing.json,experimental/hidden_3/hidden_128/amp_4/validation/20260313-125308_experimental/error_npz_vs_spice,1.4852313428213184e-05,1.2503753630455078e-05,
missing_or_failed,experimental,fixed_inner_tolerance,3,256,hidden_3/hidden_256/validation/20260313-125843_experimental/time_digits_validate_with_residual.log,hidden_3/hidden_256/validation_states_spice_layers.timing.json,,,,
missing_or_failed,experimental,progressive_inner_tolerance,1,64,hidden_1/hidden_64/20260317-113144_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_64/redundant/20260311-172944_experimental/validation_states_spice_layers.timing.json,,,,
missing_or_failed,experimental,progressive_inner_tolerance,1,128,hidden_1/hidden_128/20260317-113144_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_128/validation_states_spice_layers.timing.json,,,,
missing_or_failed,experimental,progressive_inner_tolerance,1,256,hidden_1/hidden_256/20260317-113706_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_256/validation_states_spice_layers.timing.json,,,,
