architecture,scheme,G_min,G_max,seed,checkpoint_role,best_epoch,T,K,best_validation_accuracy_percent,run_path,checkpoint_sha256,result_sha256,config_sha256,num_weights,at_min_count,at_max_count,at_min_percent,at_max_percent
conv1,ours,1e-05,0.0001,1,best_validation,10,4,4,92.80000000000001,bundles/table3_bounded_bptt/conv1/ours/gmax_1em4/seed1,54b0afd145fddb745cd55dedb34feda1099ba363ec2465877825ee9f572a7e5b,e8827b19f69288c473a31d40919992ba127924e43f59d3b3db09b87e464030b8,20e63fd2a9a312cb7e10afac1858b7ed73cc35514df258e8b8766e467b793cda,252032,59848,2196,23.74619095987811,0.8713179278821737
conv1,ours,1e-05,0.0001,2,best_validation,9,4,4,93.4,bundles/table3_bounded_bptt/conv1/ours/gmax_1em4/seed2,1114e1fce8e5a795a5dc02192a5a1d2b8113298c2d69c8a2f1cb8efc86fe0cd9,8d1e848bf93a24735e9bd815ebafa727d3c7d22bc075ecbc3b33fbd84546e077,6a385e64b78b10c7bf514a04e16a96fcb4378e01e00ed6f7d625fd92986d46e3,252032,57571,2420,22.842734255967496,0.960195530726257
conv1,ours,1e-05,0.0005,0,best_validation,7,4,4,95.0,bundles/table3_bounded_bptt/conv1/ours/gmax_5em4/seed0,e6b3c89b5d81d0abeb38ad293b65e877ddf61b595185190342eeb5f5d49a1f94,9ebb46ebe74c67af7e9bc19b46672c3cf45f241bb1bfd9c9ef78c01b8f24c61b,db912bcd95e981d87383c296461be05a8da6a00a06b428774be33db2ee4f22ef,252032,31407,245,12.46151282376841,0.0972098781107161
conv1,ours,1e-05,0.0005,1,best_validation,10,4,4,95.42,bundles/table3_bounded_bptt/conv1/ours/gmax_5em4/seed1,464c23388561bfb72fa0eea661361fb8596edb52fb823f3652c27f3df7c7c907,1891c16460a4f8d09005b72240904f50a5ee77765c40fa735a2dd3f57bb77324,eda07546ed91fe33ef88ccf6b29dd372bbb6cb1502df51f508ee5a5ab8884a46,252032,27975,333,11.09978098019299,0.13212607922803454
conv1,ours,1e-05,0.0005,2,best_validation,7,4,4,95.08,bundles/table3_bounded_bptt/conv1/ours/gmax_5em4/seed2,f19e3657a7e4767b16a0d49fe49ae491e90228563f1e5b3bd255dc68d0bf4e98,8c7ea8c4e5ba8b895e7928c6f1a3327db5e638af356f22ea84e8fe168b0edaeb,f271d11e96018f010467d616bafd6b54e688bb4e78142dc6f71b72746045e57f,252032,29960,253,11.88737938039614,0.1003840782122905
conv1,ours,1e-05,0.001,0,best_validation,7,4,4,95.02000000000001,bundles/table3_bounded_bptt/conv1/ours/gmax_1em3/seed0,025a18c03db6debce92497e1de674ff505f0dd1af167061784cec3089228fc69,ed0b1184f2b1817aa2b458cd4e67e9f489acb40c6d10b76b7ebc0cd52a3a9f40,e2a097010d98bd504c381f11d7ca72eca0a3a6aee919659acab4d231a4d0312a,252032,31589,114,12.533725876079227,0.045232351447435246
conv1,ours,1e-05,0.001,1,best_validation,10,4,4,95.39999999999999,bundles/table3_bounded_bptt/conv1/ours/gmax_1em3/seed1,04cc11c2a6134ce3b088f392f571f55ab7b81e45da107d56c8697c19e7b97ec6,dfb21de3b409114c905a73e80c6a8803d3081066cbb293e4b8beb25104772a56,fc112a00e22f6b2d6bfb48d07664e98454e8c29c76650207d3f89cd71230f57b,252032,29949,253,11.883014855256475,0.1003840782122905
conv1,ours,1e-05,0.001,2,best_validation,9,4,4,95.08,bundles/table3_bounded_bptt/conv1/ours/gmax_1em3/seed2,3eb581f6f1d9902f6d83f48a6b529df8bf2e912f3d1465f1d595ce2456727b55,b7c27b92de2c4cb433e22e0f7bd1b2b93fc6e8e5d7c30d8fc20080f12678bf4d,3736285b2716243e5234347200acb2374f208541d830fdb0127049a18ed778d2,252032,33540,147,13.307833925850685,0.05832592686642966
conv1,legacy,1e-05,0.0001,0,best_validation,7,4,4,94.98,bundles/table3_bounded_bptt/conv1/legacy/gmax_1em4/seed0,cb231593c9d9a0f03e2a847baf14f8c3c1c6045d894a379ccb4dcf7bf08aa006,7fc9454bc87c173e9ff4cac1e875cedf0003bc445bfdb7e7888c75a0fcbfafd9,841c7431963ed6e446c3d5aff39ec2e156d485ff05b5bd10af26e5582ff0efef,252032,22900,2445,9.08614779075673,0.970114906043677
conv1,legacy,1e-05,0.0001,1,best_validation,10,4,4,94.84,bundles/table3_bounded_bptt/conv1/legacy/gmax_1em4/seed1,57f7319cef863e75b532c9b765f545b67c27285cdd9488dc4cf9680338ead412,276eda8d94f546fb01241571b0f8103512312017fb609f8d8ceb7d3f50c09367,bd502802733f8160a53ae5becc6928bb0e4e454aae6a7cdb49101a9f8b2f184e,252032,25203,2070,9.999920644997461,0.8213242762823768
conv1,legacy,1e-05,0.0001,2,best_validation,7,4,4,95.0,bundles/table3_bounded_bptt/conv1/legacy/gmax_1em4/seed2,58fd7a52d3fbb2a8081a03e1e1d500cb8e7a4817378ce8160183d99456e82d7b,d4bc01925cb01a1c0de328f12ae35168376203f39540db8c6089b9eed1b52934,605791d25e1024211adefc8f2ff715c8e6d5b7a2c8c6427439bab41cb57fa48c,252032,25857,2466,10.259411503301168,0.9784471813103098
conv1,legacy,1e-05,0.0005,0,best_validation,7,4,4,96.26,bundles/table3_bounded_bptt/conv1/legacy/gmax_5em4/seed0,2f511ad9fa3c0249bc50f4856d417e21e266b7cd828f5d56ee04ec83a04b8fbb,e3c61b867c92e6b9c670e6d216f899c30fe02c9f631177928f2d8703a37ddf82,57d881d2f68309b9e35dba3f4adfe15790fe26cdaeb246710854b26e28be0874,252032,12610,109,5.0033329101066535,0.04324847638395125
conv1,legacy,1e-05,0.0005,1,best_validation,8,4,4,96.46000000000001,bundles/table3_bounded_bptt/conv1/legacy/gmax_5em4/seed1,3e02a4b26c10d1f63e1e6405da143bfd9277fb98d71e86a8c18502128f00f47b,7c5e244745439095f2bbfca88d4e081c47f32b87ca5513c8148e6866a8d5b7ba,7cd2fe7083052bd7e3b1150174f4884858786c4f4493fa649b55d5d0c7410337,252032,5747,167,2.280265997968512,0.06626142712036567
conv1,legacy,1e-05,0.0005,2,best_validation,7,4,4,96.36,bundles/table3_bounded_bptt/conv1/legacy/gmax_5em4/seed2,d49c4d98e75cf3cbdf026c7d55b82a7df779826e16cee5ad55f5495459d059a5,9531d94951941372b0074ed8d8483341497b51f6966fc66b22dda3573eb4c3fd,0747287192cf9908c6220df679d389358beebe8b6280bf10bda11eb3ccfec37b,252032,6852,142,2.7187023869984763,0.05634205180294566
conv1,legacy,1e-05,0.001,0,best_validation,7,4,4,96.34,bundles/table3_bounded_bptt/conv1/legacy/gmax_1em3/seed0,69467d57d07e16e8a169b8fcee0cf83092e3f8e451587cb9dc6f57bbcd293a05,3cbdb86882b4fc11af5243d1a9f053de83371cc9eb19eaa87ccae67224b2c766,b539eadadb8b7287552f11abeda4b9652c0ad2cea9a26ce0a275aacc071b276a,252032,10993,24,4.361747714575927,0.00952260030472321
conv1,legacy,1e-05,0.001,1,best_validation,10,4,4,96.5,bundles/table3_bounded_bptt/conv1/legacy/gmax_1em3/seed1,ba6d6dff8a690666429038307dd9a094e36a414722892aa0d1efba63be147318,6bb2f0a80570f056a39cb468acafb40cb534501b7dda82eb10efa7b04d76273d,fb553b700112067601edaba87e24738686f55ebd3908fcbda992eda6db2dfe8d,252032,4734,88,1.878332910106653,0.034916201117318434
conv1,legacy,1e-05,0.001,2,best_validation,7,4,4,96.41999999999999,bundles/table3_bounded_bptt/conv1/legacy/gmax_1em3/seed2,8165d1ba82e831016d7251cc55e9294799d8eeb73c73b0b91131974b134345d5,7fc4900d4c5515216e1377e2f786f17c35c259e500fb1deebaebf47250ac300a,5522454aa58ec78820435ecaa7c5eec9c45fb13fbe1ee30a77846a4b6acd911f,252032,6423,14,2.548485906551549,0.005554850177755206
conv2,baseline,1e-05,0.0001,0,best_validation,9,6,6,85.6,bundles/table3_bounded_bptt/conv2/baseline/gmax_1em4/seed0,6c49195994c7b7a2d1bd890a5a32bbd75b88895a1cfec1ce85921c3c218b79d0,654d67e2b382cedd2571dbfa15bbfe8b36f3d011ec5af8d7edfd24ba06a5da49,364c1d59a0d536aad53d89a3b1d9073f109f5db983e3f827971b82560795d944,200320,81126,11834,40.49820287539936,5.907547923322683
conv2,baseline,1e-05,0.0001,1,best_validation,10,6,6,85.42,bundles/table3_bounded_bptt/conv2/baseline/gmax_1em4/seed1,ffc3052935060649dacb195c15b55f4ece6898f7464251df88074aca3fe3ce34,f165b5c6537fe176f9750c8db9bf64e2d2bed428e603e1ae1726c5a28c6d95fd,1e1836130771e44d1397870ff896040bd627ee79fb4ea3739a5bb0cd68e3c2dd,200320,75584,12098,37.73162939297124,6.039337060702875
conv2,baseline,1e-05,0.0001,2,best_validation,30,6,6,85.34,bundles/table3_bounded_bptt/conv2/baseline/gmax_1em4/seed2,dd205e4205e5fe06c5b90276a86ae887a3642be108e82fa2403c20917ca93281,8bf48346de46a3e6e4b1903014bb173f737ccccc0b344b04954111799bbce01b,f63779a7faa8de103dca6b84d54b375d81b66cb4eadccacf102d5e3fa3612b1e,200320,78966,9572,39.41992811501598,4.77835463258786
conv2,baseline,1e-05,0.0005,0,best_validation,27,6,6,92.44,bundles/table3_bounded_bptt/conv2/baseline/gmax_5em4/seed0,8c8713b96a6665f681a16c5bbeae9ad628399ffeb7bab41d86f844346b0559e4,6db33068de6cbe6a161b4001d243cbbe7ed95401c7894f37c0f0ea84c27f0f1d,31d234466d33a9c582d15f143ef6edc2964ad42c5a22b029080547b7b7fe5deb,200320,64323,2316,32.110123801916934,1.156150159744409
conv2,baseline,1e-05,0.0005,1,best_validation,30,6,6,91.53999999999999,bundles/table3_bounded_bptt/conv2/baseline/gmax_5em4/seed1,d8427b326a37998cb8909613aeb87b2edc59ae3ede66d27a328a56d84d47de47,8e2e855fea47a806866578190680518198b93709d0847fffb126e739cdc796fb,8abf3651b216f56bc572bf775dd4b2c6e6c4c83a0f859a010ab27d2e43a102a5,200320,73019,2598,36.45117811501598,1.2969249201277955
conv2,baseline,1e-05,0.0005,2,best_validation,30,6,6,92.14,bundles/table3_bounded_bptt/conv2/baseline/gmax_5em4/seed2,e90bd5c33e613baafca50dfc99cc0674726d184c4decdc5bd396e2260269f6eb,2cb2661d213b54648f30b4690902ddfd40ca8ae4248405c98acb98c9abff987c,7488df536bcdbadb4f23a69c2edbb4837d1d0f6b590e2ddcfd80b565729bdff0,200320,54189,2145,27.051218051118212,1.0707867412140575
conv2,baseline,1e-05,0.001,0,best_validation,27,6,6,93.52000000000001,bundles/table3_bounded_bptt/conv2/baseline/gmax_1em3/seed0,37c24c1394393c75c9162329ed9d02f12f7983e3ec85d2beeacd10dcb7595524,b32beead28d9be2d7fda59a7fb36446a333c27eca2c154464bc429b9abe2b0ac,8816811107f9901edb2bdc64e8651acbcd14c3174d1c302cda644c09abf9b15e,200320,54236,922,27.07468051118211,0.4602635782747604
conv2,baseline,1e-05,0.001,1,best_validation,30,6,6,93.52000000000001,bundles/table3_bounded_bptt/conv2/baseline/gmax_1em3/seed1,aee7b1e12c9609d45dd91aac83c35ae54c16dcf4f8f7086850d041083e59ed46,f3412629e3b89b494c64274060759b73621221a34ecbed87ca8dfd4c4fe620ab,7e1907fd684a15e2cb5b37949d5024628e8a5a2875dc7004d9209737c8c32a05,200320,62685,1386,31.292432108626198,0.6918929712460063
conv2,baseline,1e-05,0.001,2,best_validation,25,6,6,93.34,bundles/table3_bounded_bptt/conv2/baseline/gmax_1em3/seed2,1623ccce38202a560721f1ff2871bf0643cb146bb4c3a7501da387279ea79699,1e639153ee68da4d02105fe975a1014564034902b789fae8271238aca39236a2,429422e515f67f88111cde2bd723d441989160967c765d0b4dc2687b3056f1f2,200320,55443,1100,27.67721645367412,0.5491214057507987
conv2,ours,1e-05,0.0001,0,best_validation,30,6,6,90.3,bundles/table3_bounded_bptt/conv2/ours/gmax_1em4/seed0,1c35a761e6fc65c3a9d71961eb557a657dd2d85ec506c87e0b5de8afcceb92a4,7869076978809cac3583de936d096b536c8f8a0fab1b2e5194638c87be082a87,8c634c7a792f003ad1602e2265bce0c1574b121c7cc67e14126e47dfe104fe50,200320,56369,5908,28.139476837060702,2.9492811501597442
conv2,ours,1e-05,0.0001,1,best_validation,23,6,6,90.28,bundles/table3_bounded_bptt/conv2/ours/gmax_1em4/seed1,8e926d0f8581718046a081e3ca918650754f6946c7e234c71a78ce265178189e,3291d3cf781aecabeb660962b72e16d96328e2b1d8e2056e72fb9037e5559fec,168be5ae38b36834aa0d1b2243c68fb4274498143ca786dfbbb2fb99b83d4a2a,200320,44934,4411,22.43111022364217,2.2019768370607027
conv2,ours,1e-05,0.0001,2,best_validation,30,6,6,90.0,bundles/table3_bounded_bptt/conv2/ours/gmax_1em4/seed2,a148a768e27dde80cc37275ed96795f6aa0d89e5f00da2ac15be37adaa888500,cab7450fec2bdd31e3ef24ccfa975e0adffa6220aca69693c744ff28070aacf5,0423acb3031b17240a18d29ee69ac1279afcfd8b65786926fee88020c9a13868,200320,59104,6381,29.50479233226837,3.1854033546325877
conv2,ours,1e-05,0.0005,0,best_validation,23,6,6,96.56,bundles/table3_bounded_bptt/conv2/ours/gmax_5em4/seed0,c330343ca1f9e53cbbeb09347baaf7e0555c6d71706c8cfce9b6725c3761af9b,2987ec4798bf5b9e07d6a86ce065b2c1851693f8ae517ec74ddd9bcb2ac66d62,f273be5f9271f1a4b9e7b5ebb161cdc9635dbe42c33e3ef353893e47d1829301,200320,39048,621,19.492811501597444,0.3100039936102236
conv2,ours,1e-05,0.0005,1,best_validation,22,6,6,96.44,bundles/table3_bounded_bptt/conv2/ours/gmax_5em4/seed1,c04207208fdd991533b6c7d4f452fd0a38b6b2b8282323f36241538b4478c394,33cdfcf63ff9dd31da6258f43aa04a8268a1f9112f5a8bd5ac8b7a76dcd45eb6,b96b247d737ad6e2fdcc2989f6452b413f9bed34dbf7d31d91ba87d9ebf614f7,200320,39435,651,19.686002396166135,0.3249800319488818
conv2,ours,1e-05,0.0005,2,best_validation,30,6,6,96.67999999999999,bundles/table3_bounded_bptt/conv2/ours/gmax_5em4/seed2,c410170dc182284db9ef29456f45c62f54b43d0aa2f9bd15868eb4334e80a905,45a9b6cd5f95e8e1ebb67be2197d7005ac5e000e55459d91c5a63dc04e7234f7,887027b9d7653b90f0886b519c0b0daa7b69e946deee11d95cff0759f714cb21,200320,39343,608,19.64007587859425,0.3035143769968051
conv2,ours,1e-05,0.001,0,best_validation,28,6,6,97.18,bundles/table3_bounded_bptt/conv2/ours/gmax_1em3/seed0,2ae54ff2bfa06f43f3e87890c21c8d771c7171fe3359d30f88f86c409917b366,efedbd4f36f4354e72d44860ed24218b441313b3833bf65f89faef8e9316ee73,d7894c5c9d2cb6d93b1e367e3e38366714183ae7c97881e71a453907b4a2e955,200320,27038,246,13.497404153354633,0.12280351437699681
conv2,ours,1e-05,0.001,1,best_validation,24,6,6,97.06,bundles/table3_bounded_bptt/conv2/ours/gmax_1em3/seed1,5ccd5e6f9e90da5cc72a5202a43b9fc59306dc6ab58f392c86a557d5da80c2cb,8d70c1dcb8e775817e3892484a7b0bdba0fa6281f30f0636c83489c53d5d32d4,9e8a48e525cdbf2082f3162044adfeca5301ad3e08c3ee5c5df47a9047602825,200320,28597,213,14.275658945686901,0.10632987220447285
conv2,ours,1e-05,0.001,2,best_validation,30,6,6,97.16,bundles/table3_bounded_bptt/conv2/ours/gmax_1em3/seed2,6301e7a067fbcd7f29278f5cfa4a86031cf2e622811b437c5fc4c6a2c6f84953,be831463e64160d2ce65acaa42eceed6ad9e4264e750a896b124fe0ea7f82d66,9c8ad34843b00c8aa8f189e09efd4b0ee4b222938b27d2044e8608879a32ad5a,200320,29520,270,14.736421725239616,0.13478434504792333
conv2,legacy,1e-05,0.0001,0,best_validation,30,6,6,95.58,bundles/table3_bounded_bptt/conv2/legacy/gmax_1em4/seed0,afe9825f9fd946fa0b3f514ba0138f7aea9f01c0ee6c50ab9645ebb9c9ef6bae,65060af6797bcffc27ed382a9132c04a218dd4f68fa3b232b0f67b05232ac14b,241b4bb7852665dcb8a7889558c3640e8cba50620d197b9c2e83aa6da34077a3,200320,42543,2595,21.237519968051117,1.2954273162939298
conv2,legacy,1e-05,0.0001,1,best_validation,18,6,6,95.46,bundles/table3_bounded_bptt/conv2/legacy/gmax_1em4/seed1,f489ad2422d84bec3325980587868a7bd95399ba7af1fba758281c7829de8fe4,f073e3dbb702497d2998eeae26eba1f196ab886c54d9ef4e094c0320bdc5de83,67fd44dac67c19d4596fb56281f5010929532b62c77245cc0dce811216835e11,200320,42927,2602,21.429213258785943,1.2989217252396166
conv2,legacy,1e-05,0.0001,2,best_validation,30,6,6,95.86,bundles/table3_bounded_bptt/conv2/legacy/gmax_1em4/seed2,b0e0bd93df9dd35aa8626d59ec68ce0710b1f184f98a5a1af5e1aff3faf7bc2a,44d71edaeeb027f3eb1810af0a3b60c9fc5d5267b1390a5857e23be68811667e,ed7ac37b7ab2f6ccfaf12d8055c3540d1726b201dd8fec564050c0b914e243ab,200320,48572,2760,24.24720447284345,1.3777955271565496
conv2,legacy,1e-05,0.0005,0,best_validation,27,6,6,97.64,bundles/table3_bounded_bptt/conv2/legacy/gmax_5em4/seed0,b1bf118bc5cc06baeb661dd93cf4b724a5d407b1a5f62addd6bc7b1a8961bde2,37382eb479febbfc95fc08f012e8ab318ad9e3c5d78001efddc6cee4d403117b,727072238c0bd413b10a333db75610080d04509edae07a739bff7c4902736920,200320,21783,408,10.87410143769968,0.2036741214057508
conv2,legacy,1e-05,0.0005,1,best_validation,30,6,6,97.7,bundles/table3_bounded_bptt/conv2/legacy/gmax_5em4/seed1,4064ca40c41c818b8fa6c3c18691bf973cbd805502f08b464a671f374fa5e3a2,b599704fa6c740339475a05102d64cc5e2d80fd0daf421579ab562364b58776b,ff36b5e067eef72161543e51c3d7a3a768e30d942d56667f77ad0be85f05084a,200320,26988,407,13.47244408945687,0.20317492012779553
conv2,legacy,1e-05,0.0005,2,best_validation,29,6,6,97.7,bundles/table3_bounded_bptt/conv2/legacy/gmax_5em4/seed2,439de1c037a2c2643ebc0f22a8b1bb593da942bedda96571bd49d90ab46fc858,eb91be6620c813f3d6028e056e53960dee0408bbe162d325944149da63da67fa,0a661fe82a464c38cf6ea2a9ac7b4711e9150fae4eac7388e8da6162dbb7a86e,200320,20195,339,10.08136980830671,0.16922923322683706
conv2,legacy,1e-05,0.001,0,best_validation,29,6,6,97.96000000000001,bundles/table3_bounded_bptt/conv2/legacy/gmax_1em3/seed0,2282c997cafebce04c5fe786f712e6304696fb701834d31352cc5e04a04ccd10,8e26787b1c4b2bdad01d422bcc711013b19c73d563fb8dc096b50646f88769b7,f0e0060d212fdd48f7780d08977287d972a830f327e86e7d5e513de7ce48bf6d,200320,15458,86,7.716653354632588,0.04293130990415336
conv2,legacy,1e-05,0.001,1,best_validation,19,6,6,97.8,bundles/table3_bounded_bptt/conv2/legacy/gmax_1em3/seed1,743fd93426d6d508f41d1dddeb5e0197e81e76c22804806b0e481c51f2d8de0d,bd646456b2461edc20988ecc108987e9082b2c8e21c2d5458c603d9609786e3a,e215c420f95e88a452831e390c83d5e8229ce11db3e69b02f4ac2befc2481e79,200320,12562,61,6.270966453674121,0.030451277955271566
conv2,legacy,1e-05,0.001,2,best_validation,26,6,6,97.86,bundles/table3_bounded_bptt/conv2/legacy/gmax_1em3/seed2,47ece3da4d6867ebc6558a0ea60dcf9a485d17aa02a6f1c1defc3a279633e858,b87ca3b047a94794f54f2ae7e5898462deca4122b6ada342355238b308dfb313,8f3578572cabcaf5ee5c916195e524d79846c2fbee822a55f666e4aeb9849d61,200320,12951,91,6.465155750798722,0.04542731629392971
conv3,baseline,1e-05,0.0001,0,best_validation,30,8,8,77.66,bundles/table3_bounded_bptt/conv3/baseline/gmax_1em4/seed0,4215a87d3a43cbe91d451bedd96a397544e7b8170c5120861ea2d44f70bc3d7e,a8a49f76a89503ca5c620e18dc2d86009f530490d7f723931d60438dd6df8518,d8d528564db0a2750ea72a891ef06fe7b1cd80207b1be188c82b24fbeea78051,620672,400655,48321,64.55180836254898,7.78527144772118
conv3,baseline,1e-05,0.0001,1,best_validation,10,8,8,77.56,bundles/table3_bounded_bptt/conv3/baseline/gmax_1em4/seed1,33010c9f8eb9bbc35c8063e1bd325bdc7986f281fcf10b83acc8bb36ef6fb856,e741691d5b4d5d045b89f77d28d9ade4455d4cb959ab6e916f5cb0d7d59dd187,5cec8597ec11d92f3637c7bb662a3e59637ca3d31a0de1ec302d88b3218b1fdd,620672,383787,49522,61.83410883687358,7.9787713961641575
conv3,baseline,1e-05,0.0001,2,best_validation,14,8,8,77.58,bundles/table3_bounded_bptt/conv3/baseline/gmax_1em4/seed2,a5d6636b0367f9602af033c47a55b50796994afbb15d4604c5d29a6a8be1a329,99339df560c0be541f6f6a5a2cb543eb0eac5fd959412e3c77d6ee4c25052a8a,cef0d45747076908c1f7026aa57aadba15402356cd0bb877f54df5aee4e72822,620672,406998,44205,65.57376520932151,7.122119251392039
conv3,baseline,1e-05,0.0005,0,best_validation,30,8,8,87.44,bundles/table3_bounded_bptt/conv3/baseline/gmax_5em4/seed0,2a6797fc4b2cd7d15ead26f9a9be88abf9ce2f5340009e821d7f96082201ecb1,570312d585b3f2803f3fd986f21eada243854d90f71c9ae01b000685045cfd75,8bcb3bed6dcabe071da7d7963754bab5df3b3542f9e47e7ed6c3d8cad2283127,620672,193311,5398,31.145435914621572,0.8697025159826769
conv3,baseline,1e-05,0.0005,1,best_validation,30,8,8,87.86,bundles/table3_bounded_bptt/conv3/baseline/gmax_5em4/seed1,911bac8bde4c30851a85c800351eca26014575cd71dfb8aa45d0f5c85bef3ec5,26d21027c544f8b6e7a44aa34a3cc0613e3e87e9d9aa99a8f3a705042e13ddb1,992c5f10640867b45430536522a698a9e26e0533341fa7f3464ad368ce1913fb,620672,232803,13353,37.50821690039184,2.1513778614147245
conv3,baseline,1e-05,0.0005,2,best_validation,30,8,8,88.3,bundles/table3_bounded_bptt/conv3/baseline/gmax_5em4/seed2,98acf1d3136dbc656be8d38591c77b6bdcb712e64060277a6710abb7f81659c8,59b7f54868c4004211e4d45d0ea9599e16b6982d6d7358f96fad47f85ca1db76,466a8886a400dda245535d07a92eaf59670434bf44b6e74d86fb566346b519b3,620672,171736,2673,27.66936481748814,0.430662249948443
conv3,baseline,1e-05,0.001,0,best_validation,30,8,8,89.60000000000001,bundles/table3_bounded_bptt/conv3/baseline/gmax_1em3/seed0,aebc862447d48f5bc78fc4358dc59eee62f934942dc033677ca8e59b231222f0,80f2131401a1a4f9de4ba97b3335f86b4e1e116a37eefa2f00bc9f94ca6a1b6c,83d5a26144d2b4a3adc673e86614a1458058d9d9578d6de4a4e38c021cd851fc,620672,210290,4003,33.88101928232625,0.6449461229119406
