scheme,training_gpu,training_sigma,readout_sigma,parameter,comparisons,batches,injected_beta,checkpoint_epoch,source_bundle,cosine_defined_count,cosine_min,cosine_p10,cosine_median,cosine_p90,cosine_max,clean_eqprop_bptt_cosine_defined_count,clean_eqprop_bptt_cosine_min,clean_eqprop_bptt_cosine_p10,clean_eqprop_bptt_cosine_median,clean_eqprop_bptt_cosine_p90,clean_eqprop_bptt_cosine_max,noisy_clean_eqprop_cosine_defined_count,noisy_clean_eqprop_cosine_min,noisy_clean_eqprop_cosine_p10,noisy_clean_eqprop_cosine_median,noisy_clean_eqprop_cosine_p90,noisy_clean_eqprop_cosine_max,eqprop_over_bptt_norm_ratio_defined_count,eqprop_over_bptt_norm_ratio_min,eqprop_over_bptt_norm_ratio_p10,eqprop_over_bptt_norm_ratio_median,eqprop_over_bptt_norm_ratio_p90,eqprop_over_bptt_norm_ratio_max,relative_l2_difference_over_bptt_defined_count,relative_l2_difference_over_bptt_min,relative_l2_difference_over_bptt_p10,relative_l2_difference_over_bptt_median,relative_l2_difference_over_bptt_p90,relative_l2_difference_over_bptt_max,bptt_rms_defined_count,bptt_rms_min,bptt_rms_p10,bptt_rms_median,bptt_rms_p90,bptt_rms_max,eqprop_rms_defined_count,eqprop_rms_min,eqprop_rms_p10,eqprop_rms_median,eqprop_rms_p90,eqprop_rms_max,all_endpoint_residual_gates_passed,fraction_cosine_above_0.90,fraction_cosine_above_0.99
baseline,A100,0.0001,0.0001,ConvWeight_2,144,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_9/runs/000_conv3_baseline_p90_sigma1em4_seed0_8ded8dea,144,0.9960433552808459,0.9971645664718365,0.9984101318731219,0.9989716852048971,0.9991384670984939,144,0.9980395918062304,0.998627667410535,0.9993623095531368,0.9998935642186589,0.9999661058397672,144,0.997144501110787,0.9981013780811034,0.999087683861773,0.9994630830278974,0.9997325631263696,144,0.9914456833749801,0.9971102813326802,1.0001533967987113,1.0026756967242363,1.0056565405177862,144,0.04150876841774258,0.04536313599133806,0.05641265701240242,0.07543107731935386,0.08902353178744794,144,0.00011468160174098512,0.00012896737035987917,0.00019379651527341664,0.0002632680741975371,0.00034033948737596684,144,0.00011466960740501681,0.00012906861266559526,0.0001936709787848806,0.0002643659969217678,0.00033752524031979724,False,1.0,1.0
baseline,A100,0.0001,0.0001,DenseWeight_0,144,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_9/runs/000_conv3_baseline_p90_sigma1em4_seed0_8ded8dea,144,0.9999964722891814,0.9999972807595958,0.9999986087343624,0.999999236122077,0.9999995363396189,144,0.9999980932293316,0.9999986685779787,0.9999994145613955,0.9999996780151233,0.9999997845143558,144,0.9999980350997881,0.99999855011416,0.9999992145193117,0.9999995590832399,0.9999997401681371,144,0.9989510626963929,0.9997348708481476,1.0000064557016108,1.0002312819848667,1.0005577156696865,144,0.0009690147464330635,0.001240745222630031,0.0016719627887592894,0.002370046198843436,0.0026565233016987906,144,4.454958000100036e-05,4.7723787028266014e-05,6.617059319994679e-05,8.846891038357257e-05,0.00010681622831591805,144,4.4540881205981696e-05,4.7729072830371626e-05,6.616357116698756e-05,8.8472394728926e-05,0.00010682323313885493,False,1.0,1.0
baseline,A100,0.0003,0.0,ConvWeight_0,36,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_10/runs/000_conv3_baseline_p90_sigma3em4_seed0_02c1c964,36,0.9938287866039867,0.9991343069155416,0.9998294785936915,0.9999774691365877,0.9999892534888438,36,0.9938287866039867,0.9991343069155416,0.9998294785936915,0.9999774691365877,0.9999892534888438,36,0.9999999999999994,0.9999999999999996,1.0,1.0000000000000004,1.0000000000000007,36,0.9519215123652376,0.986329612151353,1.0028727040197096,1.0190039964459718,1.0321026952718069,36,0.005912308416557745,0.008763139316392683,0.023098863570133073,0.047789272380892464,0.11734238365552394,36,2.7428445400651666e-05,3.749335298676927e-05,5.990689790752548e-05,0.0001354124312036107,0.0001742735589212447,36,2.75131989465346e-05,3.757984885334538e-05,5.9848077919726464e-05,0.0001368351300056155,0.0001744388577760759,False,1.0,1.0
baseline,A100,0.0003,0.0,ConvWeight_1,36,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_10/runs/000_conv3_baseline_p90_sigma3em4_seed0_02c1c964,36,0.9987419710894849,0.9992465420849296,0.9997755022285237,0.9999342514001501,0.9999728487801606,36,0.9987419710894849,0.9992465420849296,0.9997755022285237,0.9999342514001501,0.9999728487801606,36,0.9999999999999951,0.9999999999999978,1.0,1.000000000000002,1.0000000000000042,36,0.9617828605765456,0.9938947362343322,1.0016562365193304,1.0125459324771524,1.0260874319865,36,0.007403712114003514,0.0126829560901291,0.021268713116746975,0.03998213886042867,0.057116104698764256,36,2.2120045536471985e-05,2.914575271605485e-05,3.790076361772255e-05,6.83958177531705e-05,9.962550005149106e-05,36,2.212969731044155e-05,2.9204304749128202e-05,3.80826429627726e-05,6.846603892729278e-05,9.979109381884747e-05,False,1.0,1.0
baseline,A100,0.0003,0.0,ConvWeight_2,36,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_10/runs/000_conv3_baseline_p90_sigma3em4_seed0_02c1c964,36,0.9945259424224016,0.9976292110056285,0.9993264271594668,0.9996525218114112,0.9999170824886743,36,0.9945259424224016,0.9976292110056285,0.9993264271594668,0.9996525218114112,0.9999170824886743,36,0.9999999999999918,0.9999999999999956,1.0000000000000002,1.000000000000004,1.000000000000008,36,0.986142911967861,0.9957487862557011,0.9988028893994512,1.0014451495283576,1.003859101354955,36,0.012881214733995137,0.026424240848995313,0.03671278091803065,0.0687677034031215,0.10490594694528771,36,0.00012438772010723903,0.00014427091053255902,0.00020223093588072445,0.0002699434147676596,0.00035942976560906776,36,0.00012409628663299826,0.00014396262779078222,0.00020089687946399246,0.00026997987323217987,0.0003582219650821974,False,1.0,1.0
baseline,A100,0.0003,0.0,DenseWeight_0,36,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_10/runs/000_conv3_baseline_p90_sigma3em4_seed0_02c1c964,36,0.99999856467275,0.9999991557040236,0.9999995356474634,0.9999997711652375,0.9999998038940053,36,0.99999856467275,0.9999991557040236,0.9999995356474634,0.9999997711652375,0.9999998038940053,36,0.9999999999999438,0.9999999999999603,1.0000000000000004,1.0000000000000258,1.0000000000000326,36,0.9993380453319692,0.9997993719949952,0.9999859910057791,1.000246306596309,1.0006501065876414,36,0.0006333673207075758,0.0006872846235192304,0.0009783086809787046,0.0013176548602393421,0.0018152573750375872,36,4.8318790106194935e-05,5.1031686359501806e-05,6.855097941228624e-05,9.409719005754468e-05,0.00010907189350221674,36,4.832637632360544e-05,5.101307374747619e-05,6.853015538532225e-05,9.409399091919252e-05,0.0001090651201142429,False,1.0,1.0
baseline,A100,0.0003,0.0003,ConvWeight_0,144,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_10/runs/000_conv3_baseline_p90_sigma3em4_seed0_02c1c964,144,-0.09065277265804182,0.12620546529739207,0.27377627235940477,0.5413712757936971,0.6946232575957941,144,0.9938287866039867,0.9990897750007687,0.9998294785936915,0.9999780312589966,0.9999892534888438,144,-0.08682200779620136,0.12570556722505857,0.2710892058038299,0.5426027011708691,0.6943716404280761,144,1.4738817649125417,1.80727736432688,3.7434766103897443,5.892133408998879,8.59498709155182,144,1.1803170341711855,1.4922641213381822,3.5390681475757084,5.689907346188692,8.594907305650969,144,2.7428445400651666e-05,3.636488990724226e-05,5.990689790752548e-05,0.00013821196755517873,0.0001742735589212447,144,0.00018432695267057644,0.0002020231894828378,0.00022381435442531632,0.00025734078978587434,0.00032844452406920925,False,0.0,0.0
baseline,A100,0.0003,0.0003,ConvWeight_1,144,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_10/runs/000_conv3_baseline_p90_sigma3em4_seed0_02c1c964,144,0.309344986685245,0.4283934201986797,0.5627624404945799,0.752923306449041,0.8703094761181643,144,0.9987419710894849,0.9992347549288373,0.9997755022285237,0.9999437060857423,0.9999728487801606,144,0.3093562447262155,0.4285342649052158,0.5632573500211036,0.7526191118638564,0.8713563367825948,144,1.1403079054898968,1.2960584452647754,1.770999217240186,2.2923616044538204,3.0912105642108894,144,0.5815399166548112,0.8611899370672718,1.4512094048509225,2.042413759756413,2.9399118644331494,144,2.2120045536471985e-05,2.8924309671187134e-05,3.790076361772255e-05,7.142139266017549e-05,9.962550005149106e-05,144,6.051098930900323e-05,6.502857952294644e-05,7.02648769001057e-05,9.20208542707151e-05,0.00011790772327161565,False,0.0,0.0
baseline,A100,0.0003,0.0003,ConvWeight_2,144,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_10/runs/000_conv3_baseline_p90_sigma3em4_seed0_02c1c964,144,0.9828435894255677,0.9881270524261171,0.9927253963572003,0.9957434681264266,0.9969474289976937,144,0.9945259424224016,0.9972210308703363,0.9993264271594668,0.999653258619959,0.9999170824886743,144,0.9832018693572123,0.9886804967106886,0.9943052347268115,0.9968283427335896,0.9983832544709348,144,0.9913096849292078,0.9984011108132538,1.0053829145903146,1.011553620180232,1.0209040862181904,144,0.07808861956609318,0.09250400280773294,0.12112823103889818,0.15531922466647452,0.18787794809229502,144,0.00012438772010723903,0.00014338577440904427,0.00020223093588072445,0.0002748309836302021,0.00035942976560906776,144,0.0001253012372829596,0.00014502064147826598,0.00020203182472734678,0.0002755399120944874,0.0003589919701916594,False,1.0,0.8125
baseline,A100,0.0003,0.0003,DenseWeight_0,144,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_10/runs/000_conv3_baseline_p90_sigma3em4_seed0_02c1c964,144,0.9999860479558266,0.9999891045579469,0.9999936097557158,0.9999964421581984,0.9999974638827307,144,0.99999856467275,0.9999991450149164,0.9999995356474634,0.9999997720666515,0.9999998038940053,144,0.9999867920012819,0.9999899513359928,0.9999941151316877,0.9999969679879512,0.9999980409834449,144,0.9988454884907998,0.9995421790862598,0.9999527169759306,1.0004884373942173,1.0008835075576021,144,0.002252208140956862,0.002677016760179417,0.003594293808185646,0.0047099886437792,0.005289233543821936,144,4.8318790106194935e-05,4.9692504913035865e-05,6.855097941228624e-05,9.86814094778574e-05,0.00010907189350221674,144,4.830514186902815e-05,4.968684380397032e-05,6.853059469920359e-05,9.866845750352248e-05,0.00010908278922708678,False,1.0,1.0
baseline,A100,0.0005,0.0,ConvWeight_0,36,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_11/runs/000_conv3_baseline_p90_sigma5em4_seed0_c5078abf,36,0.9872902548990135,0.9971780811678391,0.999790256373128,0.9999607174603347,0.9999824388708711,36,0.9872902548990135,0.9971780811678391,0.999790256373128,0.9999607174603347,0.9999824388708711,36,0.9999999999999993,0.9999999999999996,1.0,1.0000000000000002,1.0000000000000004,36,0.9345209845434,0.983632218459433,0.9993164728872403,1.0161371857107668,1.1838792700861596,36,0.0070569168973899764,0.010923363136237221,0.02323829112101506,0.07591933087758566,0.2069959683795826,36,3.697733816857143e-05,4.363918418615815e-05,6.910167925110872e-05,0.00017736662247355402,0.00021198508893694934,36,3.590600749716636e-05,4.3902730391494316e-05,6.893168392246466e-05,0.00017495596144792124,0.00020985901147865178,False,1.0,0.9722222222222222
baseline,A100,0.0005,0.0,ConvWeight_1,36,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_11/runs/000_conv3_baseline_p90_sigma5em4_seed0_c5078abf,36,0.9908843989456212,0.9980447227028422,0.9996838079000815,0.9998487246687975,0.9999321796988494,36,0.9908843989456212,0.9980447227028422,0.9996838079000815,0.9998487246687975,0.9999321796988494,36,0.9999999999999962,0.9999999999999978,0.9999999999999997,1.0000000000000022,1.000000000000004,36,0.9359994393816603,0.9857722588206994,0.9996651742240894,1.0101053630445664,1.086620098617212,36,0.01166270506927972,0.01741351971620153,0.02519351095120914,0.07013917481617248,0.16526775885750883,36,2.8738591544311322e-05,3.2098930375164595e-05,4.581340281538736e-05,7.674600372959241e-05,9.953230283877489e-05,36,2.8740775385571457e-05,3.20399597384865e-05,4.5609921488131314e-05,7.569741459650252e-05,9.856673258348635e-05,False,1.0,1.0
baseline,A100,0.0005,0.0,ConvWeight_2,36,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_11/runs/000_conv3_baseline_p90_sigma5em4_seed0_c5078abf,36,0.99120694345717,0.9952584581482965,0.9985795745383255,0.9994500772460891,0.9996412872811441,36,0.99120694345717,0.9952584581482965,0.9985795745383255,0.9994500772460891,0.9996412872811441,36,0.9999999999999897,0.9999999999999954,0.9999999999999998,1.0000000000000036,1.0000000000000062,36,0.9707589336436769,0.9883032697770815,0.9973487818076892,1.0007199233618869,1.0143287132045131,36,0.02678311531999907,0.033165464009457454,0.053367390789439986,0.09818284659586635,0.13432576624956657,36,0.00011776863102737319,0.00014722239603159204,0.0002030555213167111,0.0002659042007435256,0.0003617039022957044,36,0.00011784964227918705,0.0001469282909552557,0.00020267359689733213,0.00026755885796968904,0.00035959249432792413,False,1.0,1.0
baseline,A100,0.0005,0.0,DenseWeight_0,36,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_11/runs/000_conv3_baseline_p90_sigma5em4_seed0_c5078abf,36,0.9999946687152673,0.9999980140966265,0.9999996909991855,0.9999998327286617,0.9999998999504193,36,0.9999946687152673,0.9999980140966265,0.9999996909991855,0.9999998327286617,0.9999998999504193,36,0.9999999999999515,0.9999999999999596,0.9999999999999946,1.000000000000023,1.000000000000044,36,0.998796607910252,0.999707454841892,0.9999948815003501,1.0002466940121555,1.001161592592232,36,0.0004511966441614517,0.0005806406299238057,0.0008099990737089564,0.002146713772634895,0.0033741998807231125,36,4.5754116094838505e-05,5.183189561582407e-05,6.824680219916918e-05,9.268311719789896e-05,0.0001140704517515423,36,4.574900739738086e-05,5.18316488976142e-05,6.821224145726822e-05,9.267634568293508e-05,0.00011405969758913204,False,1.0,1.0
baseline,A100,0.0005,0.0005,ConvWeight_0,144,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_11/runs/000_conv3_baseline_p90_sigma5em4_seed0_c5078abf,144,-0.16750036058907988,0.05181874024281238,0.2362149136286748,0.45451763738984086,0.5968825162793273,144,0.9872902548990135,0.9971209769501492,0.999790256373128,0.9999728060711963,0.9999824388708711,144,-0.1701166057439212,0.05358191371162953,0.23446719593903545,0.45445578089493704,0.5967426161012693,144,1.7535094816021295,2.222323808495599,4.878284515513899,8.148076455790767,10.114103833139474,144,1.5231165911766171,2.003600920834786,4.877386206410133,7.985806339049656,10.112347992001618,144,3.697733816857143e-05,4.2894919723093284e-05,6.910167925110872e-05,0.00017963629206721077,0.00021198508893694934,144,0.0003069441937408874,0.0003257707594895124,0.00036276004892984537,0.00041009696400238826,0.00048774986003960013,False,0.0,0.0
baseline,A100,0.0005,0.0005,ConvWeight_1,144,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_11/runs/000_conv3_baseline_p90_sigma5em4_seed0_c5078abf,144,0.2641703007760533,0.3311941835322059,0.457897843844667,0.6379563625557045,0.7656938811831621,144,0.9908843989456212,0.9976660730224326,0.9996838079000815,0.999849836264308,0.9999321796988494,144,0.2640189078786347,0.33181597997213863,0.4585214925331581,0.6380551950566715,0.7672832297962962,144,1.2690823553169626,1.544223983055472,2.1725666941781347,2.993790755518837,3.537706387297557,144,0.8840355225690611,1.1955891420019853,1.915771147232971,2.806933960997588,3.3730176721550276,144,2.8738591544311322e-05,3.203362103972986e-05,4.581340281538736e-05,7.689671041397845e-05,9.953230283877489e-05,144,8.871643789704754e-05,9.380682387180726e-05,0.00010210896536385207,0.00011910663690352982,0.0001379421245893806,False,0.0,0.0
