architecture,scheme,layer_index,state_layer,kind,element_count,sum_squared_delta,pooled_rms,signed_mean,mean_absolute_delta,batch_rms_n_defined,batch_rms_mean,batch_rms_median,batch_rms_p10,batch_rms_p90,batch_rms_std,rms_over_output_rms,epoch
conv3,legacy,2,H3,centered_halfspan,7225344,6.617262096488852e-06,9.569955181625562e-07,-8.730579120171473e-10,1.4126446263422947e-07,36,9.070962647058571e-07,8.541962295177603e-07,6.24952961185582e-07,1.1976552440276618e-06,3.0931280423528936e-07,0.00011113933958907861,23
conv3,legacy,2,H3,negative_minus_free,7225344,6.617928211655268e-06,9.570436840941695e-07,1.4175318450244784e-09,1.4125830532381516e-07,36,9.071507466052477e-07,8.542248697355266e-07,6.250000352712671e-07,1.1976674457674253e-06,3.0930174370812136e-07,0.00011114493127383542,23
conv3,legacy,2,H3,negative_minus_matched_zero,7225344,6.6172609455271775e-06,9.569954349358986e-07,8.731241238359845e-10,1.4126437555214218e-07,36,9.070961510819733e-07,8.541962295021799e-07,6.249529611790846e-07,1.1976552440252914e-06,3.093128821156944e-07,0.00011113932992676724,23
conv3,legacy,2,H3,positive_minus_free,7225344,6.616858066192063e-06,9.56966302069875e-07,-3.2858397900981643e-10,1.412830366768568e-07,36,9.070627905654637e-07,8.541718143481802e-07,6.249161833698375e-07,1.197647285461229e-06,3.093207998031385e-07,0.00011113594861716357,23
conv3,legacy,2,H3,positive_minus_matched_zero,7225344,6.617263847777099e-06,9.569956447991368e-07,-8.729917001983104e-10,1.4126454971631678e-07,36,9.070964372585875e-07,8.541962295333411e-07,6.249529611920796e-07,1.1976552440300325e-06,3.093126867465335e-07,0.00011113935429274089,23
conv3,legacy,2,H3,zero_nudge_drift,7225344,1.3074125873737767e-10,4.2537999966196755e-09,5.444077211884938e-10,6.137843944418887e-10,36,3.277379469931733e-09,2.3929655214367347e-09,1.8122170652838287e-09,4.760574994290808e-09,2.7502183599915716e-09,0.5010756750466265,23
conv3,legacy,3,Output,centered_halfspan,11520,0.8541549523467072,0.008610772042563025,-3.0100845444233424e-05,0.004583148230087251,36,0.008229051578356301,0.007504429939394434,0.005780070801383923,0.011196922551720606,0.002571335341971562,1.0,23
conv3,legacy,3,Output,negative_minus_free,11520,0.85415498306425,0.008610772197395445,3.0104148992509463e-05,0.004583148269342063,36,0.008229051753413921,0.007504430065887354,0.005780070910311264,0.011196922587214716,0.002571335299037398,1.0,23
conv3,legacy,3,Output,negative_minus_matched_zero,11520,0.8541549522990515,0.008610772042322815,3.0100846319590875e-05,0.004583148229641814,36,0.008229051578049497,0.007504429939394446,0.005780070801383912,0.011196922551720601,0.002571335342154093,1.0,23
conv3,legacy,3,Output,positive_minus_free,11520,0.854154921630825,0.008610771887738972,-3.0097541895957397e-05,0.004583148190832438,36,0.008229051403308034,0.007504429812903835,0.00578007069246062,0.011196922516228426,0.002571335384903753,1.0,23
conv3,legacy,3,Output,positive_minus_matched_zero,11520,0.854154952394363,0.008610772042803234,-3.010084456887599e-05,0.004583148230532688,36,0.008229051578663105,0.007504429939394422,0.005780070801383934,0.011196922551720612,0.002571335341789031,1.0,23
conv3,legacy,3,Output,zero_nudge_drift,11520,8.302329619764555e-13,8.48933645845779e-09,3.3026729185896417e-09,3.6612945966881083e-09,36,6.222017739480131e-09,4.343884570091211e-09,3.16054688783951e-09,8.752207984123145e-09,5.857331999082925e-09,1.0,23
conv3,ours,0,H1,centered_halfspan,7225344,1.797198234045999e-07,1.5771344822875585e-07,-2.14596314097915e-09,4.0621767115461595e-08,36,1.4819485422839543e-07,1.3875255863455014e-07,9.930708811221283e-08,1.9307936900910623e-07,5.472670008256524e-08,1.818686487464442e-06,23
conv3,ours,0,H1,negative_minus_free,7225344,1.7983348301005131e-07,1.5776331143998086e-07,2.2061881440776995e-09,4.0638199006872644e-08,36,1.4823820241160306e-07,1.3896687251546888e-07,9.946801144378596e-08,1.9307704831713598e-07,5.475376573148977e-08,1.8192599745292526e-06,23
conv3,ours,0,H1,negative_minus_matched_zero,7225344,1.7978233478719577e-07,1.5774087433114324e-07,2.141598361217813e-09,4.0627419702858174e-08,36,1.4821201825410934e-07,1.3893710106297266e-07,9.942926162135521e-08,1.9308227531981968e-07,5.476018336416512e-08,1.8190012429825753e-06,23
conv3,ours,0,H1,positive_minus_free,7225344,1.796363838871788e-07,1.5767683273045187e-07,-2.0857381378806e-09,4.0609304272292466e-08,36,1.4816390749765246e-07,1.3856786254685578e-07,9.916414540406158e-08,1.930836776157357e-07,5.470435955926395e-08,1.8182657656721704e-06,23
conv3,ours,0,H1,positive_minus_matched_zero,7225344,1.7968623915072677e-07,1.5769871157963327e-07,-2.1503279207404853e-09,4.061961848930204e-08,36,1.4818946898120705e-07,1.3859750830244116e-07,9.920274822142281e-08,1.9307809812362273e-07,5.469801171888969e-08,1.8185180600250786e-06,23
conv3,ours,0,H1,zero_nudge_drift,7225344,5.205148918593584e-13,2.6840296876088176e-10,6.45897828598857e-11,8.23016552797235e-11,36,2.49772263507207e-10,2.2889807274029633e-10,1.650898250447287e-10,3.5761835090613613e-10,9.964837046866102e-11,0.043425424816055526,23
