architecture,scheme,checkpoint_role,T,phase,reference_kind,state_layer_name,K,layer_index,injected_beta,base_beta,model_seed,source_checkpoint_epoch,batch_count,element_count,delta_mean,delta_rms,delta_std,reference_mean,reference_rms,reference_std,current_mean,current_rms,current_std,relative_displacement,reference_norm_zero,max_abs_delta,reference_min,reference_max,current_min,current_max,active_set_transition_count,constrained_element_count,active_set_transition_fraction,batch_p05_delta_rms,batch_median_delta_rms,batch_p95_delta_rms,batch_p05_relative,batch_median_relative,batch_p95_relative
conv3,baseline,reconstructed_initialization,8,positive_minus_negative,negative_phase,Layer_1,8,1,10,10.0,0,0,36,7225344,2.2360434987697514e-08,9.734102933306546e-07,9.73153436056839e-07,-0.004508266549767757,6.8267192006006825,6.826717712003531,-0.0045082441893327845,6.826719204519283,6.8267177159368995,1.425883011630249e-07,False,6.495990824029185e-06,-81.45423909117558,102.12705684585048,-81.45423961436279,102.12705614750897,0,7225344,0.0,8.890149886698359e-07,9.754846256902745e-07,1.043554362882719e-06,1.309957219822208e-07,1.4088628712526724e-07,1.5868908813042553e-07
conv3,baseline,reconstructed_initialization,8,positive_minus_negative,negative_phase,Layer_2,8,2,10,10.0,0,0,36,3612672,6.376334292182832e-08,4.556403424839425e-06,4.555957243652302e-06,-0.0027700103088826727,0.10356545300013274,0.10352840237350999,-0.002769946545539751,0.1035655931672703,0.10352854429684306,4.3995398975694965e-05,False,3.095720364224702e-05,-0.6677617371526257,1.2246967649832745,-0.6677607284423218,1.224707000012457,52,3612672,1.4393778344671202e-05,4.404463595612732e-06,4.563149650333027e-06,4.693802194903763e-06,4.071256834615103e-05,4.408469368694684e-05,4.712789860556506e-05
conv3,baseline,reconstructed_initialization,8,positive_minus_negative,negative_phase,Layer_3,8,3,10,10.0,0,0,36,7225344,3.1928339662442953e-07,0.00024002536520385898,0.00024002515284727663,0.0016517278961712188,0.023222062078775144,0.023163245932888946,0.0016520471795678433,0.023222715691055017,0.02316387843570361,0.010336091790196402,False,0.0008279604517979766,-0.05510840992163148,0.1804298473715024,-0.055100903101525094,0.18009019542633597,16599,7225344,0.002297330064838435,0.00023919616911253794,0.00023999454609057388,0.00024098744202955328,0.00940267926530618,0.010402002785899998,0.011477873715413516
conv3,baseline,reconstructed_initialization,8,positive_minus_negative,negative_phase,Layer_4,8,4,10,10.0,0,0,36,11520,9.856628748821676e-05,0.2255470032895167,0.22554698175229088,0.0016373403034902342,0.11292319634370775,0.11291132533634586,0.001735906590978451,0.11294286053574641,0.11292951949913034,1.9973487342938159,False,0.7326264383093,-0.37124370726819556,0.383467737768761,-0.3772242323174193,0.3813305907594681,0,0,,0.22489554577028853,0.2255265588248718,0.22619923081956922,1.9951052670899305,1.9973627185684413,1.9989273609717884
conv3,baseline,best_validation,8,zero,post_T_free,Layer_1,8,1,10,10.0,0,24,36,7225344,3.0339872660301627e-06,0.0001027952926748723,0.00010275050908575695,-2.872681586146716,49.78721267908931,49.704267893788405,-2.87267855215945,49.787236088376666,49.704291517490915,2.064692661898031e-06,False,0.005397079311990183,-251.05605344536653,291.0429233321856,-251.05602605148056,291.04293840082056,2,7225344,2.7680342970521543e-07,8.620296306738619e-05,0.0001019408527262408,0.00011706628075689574,1.8087442465907804e-06,2.0408834473757015e-06,2.354321154396025e-06
conv3,baseline,best_validation,8,zero,post_T_free,Layer_2,8,2,10,10.0,0,24,36,3612672,1.1587843395204433e-05,8.10073750821729e-05,8.017428953942818e-05,-0.8164320742853338,20.536632824587155,20.52039781388238,-0.8164204864419387,20.53665425681473,20.520419724100783,3.9445305262110985e-06,False,0.0035209591332119317,-120.12007210519545,154.7828476480696,-120.1200320201575,154.78291096900261,13,3612672,3.5984445861678005e-06,6.658151092377604e-05,8.048819317049607e-05,9.390088356567189e-05,3.359378871991068e-06,3.897757700055565e-06,4.569533991516648e-06
conv3,baseline,best_validation,8,zero,post_T_free,Layer_3,8,3,10,10.0,0,24,36,7225344,7.136436798483395e-06,5.0434963806859665e-05,4.992751590075853e-05,-0.1978432023468349,1.4138310163025025,1.3999200726984797,-0.1978360659100364,1.4138493918241881,1.3999396393369488,3.567255437552845e-05,False,0.003343879217812429,-18.52844947564269,25.480146024318675,-18.5284425738692,25.48233330624668,25,7225344,3.460042871315193e-06,4.22422251232655e-05,4.981928724412959e-05,5.898454047509871e-05,2.9839748307222746e-05,3.5142398880143715e-05,4.063037888828863e-05
conv3,baseline,best_validation,8,zero,post_T_free,Layer_4,8,4,10,10.0,0,24,36,11520,1.212741727015361e-05,1.688125732688488e-05,1.174319374327463e-05,-0.16420675692752482,0.35085425129236303,0.3100561991466538,-0.16419462951025465,0.3508556551145632,0.31006421006923635,4.811472930626658e-05,False,0.00010639567782211312,-1.515565477523839,1.134560430801881,-1.5155954684891153,1.134649571139382,0,0,,1.3511965735095378e-05,1.6726733162642344e-05,2.141907225161678e-05,3.499414720603373e-05,4.889949362952694e-05,7.510335572919754e-05
conv3,baseline,best_validation,8,negative,post_T_free,Layer_1,8,1,10,10.0,0,24,36,7225344,3.0317062474083745e-06,0.0001027855141528139,0.00010274079363567196,-2.872681586146716,49.78721267908931,49.704267893788405,-2.8726785544404687,49.787236084719794,49.704291513696106,2.06449625560147e-06,False,0.005397209415747284,-251.05605344536653,291.0429233321856,-251.05602616709027,291.04293832547535,2,7225344,2.7680342970521543e-07,8.620534689005056e-05,0.00010191011607720916,0.0001170744547901943,1.809085152987846e-06,2.0409110858371494e-06,2.354297296842544e-06
conv3,baseline,best_validation,8,negative,post_T_free,Layer_2,8,2,10,10.0,0,24,36,3612672,1.1568586753458409e-05,8.100650779656795e-05,8.01761941346877e-05,-0.8164320742853338,20.536632824587155,20.52039781388238,-0.8164205056985804,20.536654246925952,20.52041971343804,3.944488295061896e-06,False,0.0035232588560774047,-120.12007210519545,154.7828476480696,-120.12003237088575,154.782910278308,10,3612672,2.768034297052154e-06,6.656883787876244e-05,8.046664032823839e-05,9.396072359473116e-05,3.363317695325625e-06,3.897866199085261e-06,4.5712431295985935e-06
