scheme,checkpoint_role,epoch,parameter,layer_index,estimator,element_count,n_batches,gradient_l2_n_defined,gradient_l2_mean,gradient_l2_median,gradient_l2_p10,gradient_l2_p90,gradient_l2_std,gradient_rms_n_defined,gradient_rms_mean,gradient_rms_median,gradient_rms_p10,gradient_rms_p90,gradient_rms_std,norm_relative_to_initial_n_defined,norm_relative_to_initial_mean,norm_relative_to_initial_median,norm_relative_to_initial_p10,norm_relative_to_initial_p90,norm_relative_to_initial_std,exact_zero_fraction_n_defined,exact_zero_fraction_mean,exact_zero_fraction_median,exact_zero_fraction_p10,exact_zero_fraction_p90,exact_zero_fraction_std,abs_le_1e_minus12_fraction_n_defined,abs_le_1e_minus12_fraction_mean,abs_le_1e_minus12_fraction_median,abs_le_1e_minus12_fraction_p10,abs_le_1e_minus12_fraction_p90,abs_le_1e_minus12_fraction_std
legacy,initialization,0,DenseWeight_0,3,eqprop,250880,36,36,2.9620166422603926,2.981611550177459,2.6364090284692554,3.3073424255971084,0.2738461009460408,36,0.0059136344308749235,0.005952755454192254,0.005263562325135208,0.006603073650450156,0.0005467308009719791,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0
legacy,initialization,0,DenseWeight_0,3,bptt,250880,36,36,2.962016327752269,2.981611453345412,2.636408873125748,3.307342087855633,0.27384612566322886,36,0.0059136338029628305,0.00595275526086811,0.005263562014993563,0.0066030729761529265,0.0005467308503195798,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0
baseline,trained,30,ConvWeight_0,0,eqprop,1152,36,36,0.0015105628753498458,0.0013156084426639964,0.000767361253100841,0.0025152313785652583,0.000718101263112733,36,4.450538552368858e-05,3.8761485466416053e-05,2.2608597736975474e-05,7.41057151681951e-05,2.1157261363568277e-05,36,1.2189261486854306,1.0163807626921475,0.46628772490360504,1.9890449838602944,0.8546713281120092,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0
baseline,trained,30,ConvWeight_0,0,bptt,1152,36,36,0.0015106990999586246,0.0013156382090347936,0.0007674876275250157,0.0025154673990528753,0.0007181033209343375,36,4.45093990797149e-05,3.876236246652613e-05,2.2612321079154746e-05,7.411266898849898e-05,2.1157321992718737e-05,36,1.2170938434815874,1.009672577730988,0.4497027968862243,2.0623617706109467,0.8410563764343065,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0
baseline,trained,30,ConvWeight_1,1,eqprop,73728,36,36,0.008602303161080465,0.008126370404891937,0.005406609107027731,0.012440355955919608,0.0028855550424076552,36,3.1680973432408697e-05,2.9928185519441452e-05,1.991171855627215e-05,4.5815937795860466e-05,1.062706009361192e-05,36,11.413034427378541,10.831263718784292,6.782236331933362,15.57600024991698,3.8786975140431,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0
baseline,trained,30,ConvWeight_1,1,bptt,73728,36,36,0.008602799937579788,0.008126144751964624,0.005406623832033096,0.012445486722072682,0.002886130614071806,36,3.168280298465561e-05,2.992735447405032e-05,1.9911772786226042e-05,4.583483362679548e-05,1.0629179836459736e-05,36,11.412572076069036,10.875880973943264,6.73551308866417,15.661046816539972,3.884995609891538,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0
baseline,trained,30,ConvWeight_2,2,eqprop,294912,36,36,0.0983085725895829,0.09835270068954124,0.06810583617985842,0.12836670351064483,0.0249062092772747,36,0.00018102775605954174,0.00018110901459787878,0.00012541171510718231,0.00023637751700765616,4.5862889254198546e-05,36,69.22673245798381,66.64703320259935,46.975046070912796,94.09388059058446,17.781023165544983,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0
baseline,trained,30,ConvWeight_2,2,bptt,294912,36,36,0.09830818768320769,0.0983614969494791,0.06810616466804509,0.1283667283455267,0.02490590231076567,36,0.00018102704728373953,0.0001811252122412411,0.0001254123199931832,0.0002363775627392014,4.586232399872946e-05,36,69.19490652501207,66.61855703056719,46.97263449338179,94.0391468041436,17.76505071902761,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0
baseline,trained,30,DenseWeight_0,3,eqprop,250880,36,36,0.032920042662315435,0.03166426708137184,0.02403513026474991,0.04419697301245271,0.007740171274352761,36,6.572451179922364e-05,6.321736933183599e-05,4.798587957146725e-05,8.823878219247136e-05,1.545316886334281e-05,36,0.6999759282569326,0.6805066987012411,0.49844171333227005,0.9654972507391278,0.17580746026447325,36,0.0,0.0,0.0,0.0,0.0,36,1.1072137188208617e-07,0.0,0.0,0.0,6.64328231292517e-07
baseline,trained,30,DenseWeight_0,3,bptt,250880,36,36,0.032920277380779156,0.031664489229862286,0.024035227534332765,0.04419820996841331,0.0077401743780107415,36,6.572498041211687e-05,6.321781284891252e-05,4.7986073769145284e-05,8.824125176176874e-05,1.5453175059762655e-05,36,0.6999814572645787,0.6805203462441098,0.4984368755286255,0.9654976962156541,0.17580566745927084,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0
