architecture,scheme,beta,checkpoint_role,estimator,parameter_name,mean_squared_norm_fraction,minimum_squared_norm_fraction,maximum_squared_norm_fraction
conv1,legacy,3,best_validation,bptt,ConvWeight_0,0.02106597400813094,0.009801538088091465,0.03673205005683247
conv1,legacy,3,best_validation,bptt,DenseWeight_0,0.9789340259918689,0.9632679499431673,0.9901984619119087
conv1,legacy,3,best_validation,eqprop,ConvWeight_0,0.02106126741789867,0.009751119395629199,0.03681780982870314
conv1,legacy,3,best_validation,eqprop,DenseWeight_0,0.9789387325821015,0.9631821901712971,0.9902488806043709
conv2,baseline,100,reconstructed_initialization,bptt,ConvWeight_0,0.002701206801974944,0.0008435273388715016,0.006644899509484721
conv2,baseline,100,reconstructed_initialization,bptt,ConvWeight_1,0.024647824459616077,0.021627970305778045,0.028356749161516433
conv2,baseline,100,reconstructed_initialization,bptt,DenseWeight_0,0.9726509687384088,0.9686720928596283,0.9773711378235689
conv2,baseline,100,reconstructed_initialization,eqprop,ConvWeight_0,0.0026569395417770764,0.0008661679687631532,0.006655440222271566
conv2,baseline,100,reconstructed_initialization,eqprop,ConvWeight_1,0.024464012572396696,0.021299872720491123,0.027959008060485863
conv2,baseline,100,reconstructed_initialization,eqprop,DenseWeight_0,0.9728790478858262,0.9686035321331972,0.9773398703552822
conv2,baseline,100,best_validation,bptt,ConvWeight_0,0.0013664829555779276,0.0006772658413653033,0.0025422553718363605
conv2,baseline,100,best_validation,bptt,ConvWeight_1,0.4680244573629907,0.35984592881082617,0.5813726942986958
conv2,baseline,100,best_validation,bptt,DenseWeight_0,0.5306090596814313,0.4167787796478284,0.6383429072692574
conv2,baseline,100,best_validation,eqprop,ConvWeight_0,0.0013673996359211454,0.0006733521805382084,0.0025446477965109827
conv2,baseline,100,best_validation,eqprop,ConvWeight_1,0.4678377823273676,0.3601291206824367,0.5808981502423491
conv2,baseline,100,best_validation,eqprop,DenseWeight_0,0.5307948180367111,0.41726641616952354,0.6380539224500171
conv2,ours,10,reconstructed_initialization,bptt,ConvWeight_0,0.002274137098788393,0.0009576026520176889,0.005009073867949855
conv2,ours,10,reconstructed_initialization,bptt,ConvWeight_1,0.02397250932422252,0.020991797824807337,0.02795141736916938
conv2,ours,10,reconstructed_initialization,bptt,DenseWeight_0,0.973753353576989,0.969864435734376,0.9777072912310273
conv2,ours,10,reconstructed_initialization,eqprop,ConvWeight_0,0.0022696977914013045,0.0009165195458348038,0.004969522712362861
conv2,ours,10,reconstructed_initialization,eqprop,ConvWeight_1,0.023845318028204585,0.02091697592012795,0.027702215829911118
conv2,ours,10,reconstructed_initialization,eqprop,DenseWeight_0,0.973884984180394,0.9700394276269658,0.9779061352166055
conv2,ours,10,best_validation,bptt,ConvWeight_0,0.0013062137186168779,0.0005755600011642739,0.0033389361820651735
conv2,ours,10,best_validation,bptt,ConvWeight_1,0.1419416699693587,0.09757558304418376,0.18292995510009755
conv2,ours,10,best_validation,bptt,DenseWeight_0,0.8567521163120245,0.8140964317140769,0.9016918477295665
conv2,ours,10,best_validation,eqprop,ConvWeight_0,0.0013065359898229538,0.0005768940867852459,0.003276241762791667
conv2,ours,10,best_validation,eqprop,ConvWeight_1,0.1416841082383467,0.09702772927511705,0.18277268597072854
conv2,ours,10,best_validation,eqprop,DenseWeight_0,0.8570093557718302,0.8142414316925464,0.9022408653776378
conv2,legacy,0.03,reconstructed_initialization,bptt,ConvWeight_0,0.002108675072198035,0.000994468022354745,0.005547340885066068
conv2,legacy,0.03,reconstructed_initialization,bptt,ConvWeight_1,0.024597849853358708,0.021482608524946413,0.028686954036437895
conv2,legacy,0.03,reconstructed_initialization,bptt,DenseWeight_0,0.9732934750744433,0.9691528913168607,0.9775229234526989
conv2,legacy,0.03,reconstructed_initialization,eqprop,ConvWeight_0,0.00210710198063621,0.0009926909146322598,0.005534833478268203
