architecture,scheme,beta,anchor,factor,checkpoint_role,layerwise_cosine,whole_gradient_cosine,layerwise_norm_delta,whole_gradient_norm_delta,residual_passed,state,result_directory
conv3,ours,0.9,3,0.3,best_validation,0.9989595483811774,0.9997112165525299,0.026289090237923186,0.0004459838372766682,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta0p9
conv3,ours,3.0,3,1,reconstructed_initialization,0.939168192826838,0.9999676432642232,0.27817788383858766,0.0004032753636750182,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta3
conv3,ours,3.0,3,1,best_validation,0.9954844536284092,0.9987511535591613,0.05613254047950267,0.0029352220966175502,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta3
conv3,ours,6.0,3,2,reconstructed_initialization,0.8869811572097297,0.9998557554879284,0.45456241890160964,0.0016948677308597857,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta6
conv3,ours,6.0,3,2,best_validation,0.993957531305419,0.998338740471612,0.05763881932002023,0.007121321660288257,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta6
conv3,ours,9.0,3,3,reconstructed_initialization,0.8436420127542523,0.9995839150381717,0.5840993871058706,0.0038857448923827792,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta9
conv3,ours,9.0,3,3,best_validation,0.993104860512932,0.9981206441289415,0.0623601551035854,0.008244188163145686,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta9
conv3,ours,15.0,3,5,reconstructed_initialization,0.7116072089135657,0.9978177248647819,0.7095618417929823,0.011852529560115404,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta15
conv3,ours,15.0,3,5,best_validation,0.990594478782033,0.9977555511793066,0.05638276640488155,0.008150260066567966,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta15
conv3,ours,22.5,3,7.5,reconstructed_initialization,0.45494647289276363,0.9913271411802863,0.664651695177798,0.032537872138378936,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta22p5
conv3,ours,22.5,3,7.5,best_validation,0.9874276658328095,0.9969931555636411,0.09206622826511243,0.010863078983807787,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta22p5
conv3,ours,30.0,3,10,reconstructed_initialization,0.42012040205928175,0.9784508970387309,0.5334222336564556,0.07002712664672525,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta30
conv3,ours,30.0,3,10,best_validation,0.9846828928161419,0.9963407349047647,0.11243193563321102,0.012307790466887916,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta30
conv3,ours,60.0,3,20,reconstructed_initialization,0.3891960774834849,0.8849968433516815,1.1045443122913434,0.3109087658867796,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta60
conv3,ours,60.0,3,20,best_validation,0.9760987198974478,0.9943897609988017,0.12705446611604773,0.014078294009705046,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta60
conv3,ours,90.0,3,30,reconstructed_initialization,-0.5252800817094434,0.7903379112985188,1.0725198623884107,0.5653996825115593,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta90
conv3,ours,90.0,3,30,best_validation,0.9673091158461438,0.9922889854992962,0.13789077314155102,0.018017205866354812,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta90
