audit_phase,model_seed,injected_beta,checkpoint_role,cohort,parameter_name,count,min_cosine,p05_cosine,median_cosine,max_norm_delta,failed
selection,0,10.0,reconstructed_initialization,selection,ConvWeight_1,32,0.9988909567666971,0.9991981490328496,0.9996915655765757,0.018204036143532477,0
selection,0,10.0,reconstructed_initialization,selection,ConvWeight_2,32,0.9996857591427866,0.9996991394247641,0.9997824641466129,0.0014660207316445615,0
selection,0,10.0,reconstructed_initialization,selection,DenseWeight_0,32,0.9999999922622476,0.9999999927202103,0.9999999941556892,3.0532353634846014e-06,0
selection,0,10.0,best_validation,historical,ConvWeight_0,4,0.9999994294099585,0.9999994897073641,0.9999998689533769,0.0007257004825931712,0
selection,0,10.0,best_validation,historical,ConvWeight_1,4,0.999998116165123,0.9999983693238861,0.999999867806393,0.0004857701018732252,0
selection,0,10.0,best_validation,historical,ConvWeight_2,4,0.9999924879182323,0.999993587535058,0.999999880340314,7.828528637875167e-05,0
selection,0,10.0,best_validation,historical,DenseWeight_0,4,0.9999999947932356,0.9999999949095298,0.9999999960425388,3.6072735453082064e-05,0
selection,0,10.0,best_validation,selection,ConvWeight_0,32,0.9999983627360187,0.9999988409658312,0.9999999538947906,0.0013782719964145031,0
selection,0,10.0,best_validation,selection,ConvWeight_1,32,0.9999897753445032,0.9999959260152358,0.9999999802681008,0.0008622005038693152,0
selection,0,10.0,best_validation,selection,ConvWeight_2,32,0.9999435246106911,0.9999873479675021,0.9999999906028497,0.00013318782045264644,0
selection,0,10.0,best_validation,selection,DenseWeight_0,32,0.9999999875344259,0.9999999877170611,0.9999999955721801,6.261402365471505e-05,0
selection,0,30.0,reconstructed_initialization,historical,ConvWeight_0,4,0.9965720200117608,0.9968173335880962,0.9984304688995729,0.05627067323744355,0
selection,0,30.0,reconstructed_initialization,historical,ConvWeight_1,4,0.9985909206918938,0.9986138142094819,0.9989310366311537,0.00932852296639521,0
selection,0,30.0,reconstructed_initialization,historical,ConvWeight_2,4,0.9992014705747573,0.9992049759835886,0.9992915403707282,0.0021204225382103,0
selection,0,30.0,reconstructed_initialization,historical,DenseWeight_0,4,0.9999997853217776,0.9999997919171116,0.999999838628875,3.0211197609866925e-05,0
selection,0,30.0,reconstructed_initialization,selection,ConvWeight_0,32,0.9802064250126024,0.9928343512992058,0.9994288428312303,0.08623480335979314,1
selection,0,30.0,reconstructed_initialization,selection,ConvWeight_1,32,0.9973940471335097,0.9979661684641844,0.999220944919736,0.02451302469559012,0
selection,0,30.0,reconstructed_initialization,selection,ConvWeight_2,32,0.999058617618067,0.9991473066668598,0.9993510926121479,0.0030048500655373554,0
selection,0,30.0,reconstructed_initialization,selection,DenseWeight_0,32,0.9999997931245425,0.9999998063852242,0.9999998439621383,2.517266143780328e-05,0
selection,0,30.0,best_validation,historical,ConvWeight_0,4,0.9999944972651825,0.9999951465147109,0.9999993660491562,0.00125570403232657,0
selection,0,30.0,best_validation,historical,ConvWeight_1,4,0.9999953495623988,0.9999954702976193,0.9999979342433835,0.0006704676026208512,0
selection,0,30.0,best_validation,historical,ConvWeight_2,4,0.9999756008851499,0.999976928121098,0.9999902539597703,0.0001051919513527077,0
selection,0,30.0,best_validation,historical,DenseWeight_0,4,0.9999999947932346,0.9999999948914575,0.9999999955052119,3.568548024813641e-05,0
selection,0,30.0,best_validation,selection,ConvWeight_0,32,0.9999783805523532,0.9999860852218904,0.9999995301629913,0.0032851983866977064,0
selection,0,30.0,best_validation,selection,ConvWeight_1,32,0.9999673583997875,0.9999842377557754,0.9999991942976656,0.0015667534853315809,0
selection,0,30.0,best_validation,selection,ConvWeight_2,32,0.999908175386079,0.9999193442214894,0.9999970210487463,0.0005929865124836124,0
selection,0,30.0,best_validation,selection,DenseWeight_0,32,0.9999999873268505,0.9999999875084246,0.9999999950957691,6.218151441095271e-05,0
selection,0,50.0,reconstructed_initialization,historical,ConvWeight_0,4,0.9923306485845661,0.9932476824584092,0.9985825580042726,0.05865964238677925,0
selection,0,50.0,reconstructed_initialization,historical,ConvWeight_1,4,0.9975393599917551,0.9976900638460892,0.9985752298164907,0.008567480957288957,0
selection,0,50.0,reconstructed_initialization,historical,ConvWeight_2,4,0.9986978294660244,0.9987017687862048,0.9988138341089838,0.0034727567549534626,0
selection,0,50.0,reconstructed_initialization,historical,DenseWeight_0,4,0.9999990147166373,0.9999990428103506,0.9999992300115478,8.239125669185946e-05,0
selection,0,50.0,reconstructed_initialization,selection,ConvWeight_0,32,0.9782347533759459,0.9885697778168042,0.9988794845987008,0.0976927523512125,2
selection,0,50.0,reconstructed_initialization,selection,ConvWeight_1,32,0.9959778824791552,0.997203511543361,0.9987743422911401,0.028525797825926846,0
selection,0,50.0,reconstructed_initialization,selection,ConvWeight_2,32,0.9984777656111942,0.9986017202636465,0.998932168640704,0.004618719138314986,0
selection,0,50.0,reconstructed_initialization,selection,DenseWeight_0,32,0.9999990240795181,0.9999990974899196,0.999999262343955,7.13211227680698e-05,0
selection,0,50.0,best_validation,historical,ConvWeight_0,4,0.9999917401087539,0.9999927859387756,0.9999993017052193,0.00154811441360313,0
selection,0,50.0,best_validation,historical,ConvWeight_1,4,0.9999930551458354,0.9999934490926241,0.9999976048705659,0.0006866331233026178,0
selection,0,50.0,best_validation,historical,ConvWeight_2,4,0.9999630265322054,0.9999659449984146,0.9999879692459894,0.00010633805974712643,0
selection,0,50.0,best_validation,historical,DenseWeight_0,4,0.9999999947847363,0.9999999948051078,0.9999999951436298,3.625765261505624e-05,0
selection,0,50.0,best_validation,selection,ConvWeight_0,32,0.9999475950707659,0.9999675100638561,0.9999983233511414,0.00502815350903284,0
selection,0,50.0,best_validation,selection,ConvWeight_1,32,0.9999353535556839,0.9999723028045107,0.9999934454038306,0.002446445429831878,0
selection,0,50.0,best_validation,selection,ConvWeight_2,32,0.9997872961499963,0.9998819988859626,0.999974251498901,0.0011771942971473082,0
selection,0,50.0,best_validation,selection,DenseWeight_0,32,0.9999999870744474,0.9999999873055744,0.9999999947295065,6.231139116584461e-05,0
selection,0,75.0,reconstructed_initialization,historical,ConvWeight_0,4,0.9916452533105624,0.9927055589099698,0.9989019402415888,0.07275316724154075,0
selection,0,75.0,reconstructed_initialization,historical,ConvWeight_1,4,0.9967691940822808,0.9969563446628804,0.9980658691839438,0.00989271118200004,0
selection,0,75.0,reconstructed_initialization,historical,ConvWeight_2,4,0.9980565737059459,0.9980686484337479,0.9982441929101403,0.005288127188328293,0
selection,0,75.0,reconstructed_initialization,historical,DenseWeight_0,4,0.9999966828931859,0.9999967743650386,0.9999973230983279,0.00018426172778006122,0
selection,0,75.0,reconstructed_initialization,selection,ConvWeight_0,32,0.977007883625424,0.9813199675639328,0.9983916480148917,0.16080027979995834,5
selection,0,75.0,reconstructed_initialization,selection,ConvWeight_1,32,0.9939679908564166,0.99584867540576,0.998118982466863,0.027945158001276744,0
selection,0,75.0,reconstructed_initialization,selection,ConvWeight_2,32,0.9977842630094901,0.9979258473842838,0.9983886229766836,0.006183190135952902,0
selection,0,75.0,reconstructed_initialization,selection,DenseWeight_0,32,0.9999966323650659,0.9999969409421763,0.9999974755856158,0.00016124667706869723,0
selection,0,75.0,best_validation,historical,ConvWeight_0,4,0.9999922866480246,0.9999932615738941,0.9999990652376556,0.0009062386766980273,0
selection,0,75.0,best_validation,historical,ConvWeight_1,4,0.9999922671124342,0.9999927344588966,0.9999972119791769,0.0006085630330845118,0
selection,0,75.0,best_validation,historical,ConvWeight_2,4,0.9999530476958712,0.9999572616354961,0.9999845671197292,9.060161484361495e-05,0
