architecture,scheme,beta,minimum_cosine,maximum_norm_mismatch,maximum_relative_l2_error,limiting_matrix,limiting_checkpoint,limiting_batch,origin
conv2,ours,10000.0,0.09777447959654285,1.8891679016904401,34.651612634024694,ConvWeight_0,best_validation,25,original_grid
conv3,baseline,0.1,0.9999688553092345,0.00648704592638413,0.007939528008003112,ConvWeight_0,reconstructed_initialization,7,original_grid
conv3,baseline,0.3,0.9998480595587995,0.009018781112729257,0.017768217788832287,ConvWeight_0,reconstructed_initialization,17,original_grid
conv3,baseline,1.0,0.9996767737934351,0.02212367267060065,0.031054986374897255,ConvWeight_0,reconstructed_initialization,12,original_grid
conv3,baseline,3.0,0.9985630760516941,0.026454693185399822,0.05775963450610002,ConvWeight_0,reconstructed_initialization,12,original_grid
conv3,baseline,10.0,0.9948864048327192,0.0570058539965755,0.10153963696305754,ConvWeight_0,reconstructed_initialization,26,original_grid
conv3,baseline,20.0,0.982515336738483,0.07371705729186359,0.18627279463751276,ConvWeight_0,reconstructed_initialization,26,original_grid
conv3,baseline,30.0,0.9802064250126024,0.08623480335979314,0.1984645537553157,ConvWeight_0,reconstructed_initialization,26,original_grid
conv3,baseline,50.0,0.9782347533759459,0.0976927523512125,0.20843727109019142,ConvWeight_0,reconstructed_initialization,26,original_grid
conv3,baseline,75.0,0.977007883625424,0.16080027979995834,0.25717230898682786,ConvWeight_0,reconstructed_initialization,26,original_grid
conv3,baseline,100.0,0.9673926637228818,0.1842596479603944,0.3312318314386096,ConvWeight_0,reconstructed_initialization,33,original_grid
conv3,baseline,109.050773267,0.9637430441493049,0.188921827316789,0.3536928675104387,ConvWeight_0,reconstructed_initialization,33,refined_grid
conv3,baseline,118.9207115,0.9606464279334238,0.18811705218344604,0.3702124143562554,ConvWeight_0,reconstructed_initialization,33,refined_grid
conv3,baseline,129.683955465,0.9572329252042132,0.19702182971131993,0.3898622146630914,ConvWeight_0,reconstructed_initialization,33,refined_grid
conv3,baseline,141.421356237,0.9533919493042577,0.21206770420926818,0.4142497109532417,ConvWeight_0,reconstructed_initialization,33,refined_grid
conv3,baseline,147.682614594,0.9513160014081933,0.22093293922805482,0.42806378861145294,ConvWeight_0,reconstructed_initialization,33,refined_grid
conv3,baseline,154.221082541,0.9496803647750262,0.22763054397563465,0.43871413564705786,ConvWeight_0,reconstructed_initialization,33,refined_grid
conv3,baseline,168.179283051,0.9467447798265866,0.23988892109989904,0.4580888746053868,ConvWeight_0,reconstructed_initialization,33,refined_grid
conv3,baseline,183.400808641,0.9432937490652248,0.25278962799812377,0.47954281680790883,ConvWeight_0,reconstructed_initialization,33,refined_grid
conv3,baseline,200.0,0.9407996323627008,0.2618029684534783,0.4947825480983068,ConvWeight_0,reconstructed_initialization,33,original_grid
conv3,baseline,300.0,0.9314210196957116,0.28685105633939145,0.5433556377500997,ConvWeight_0,reconstructed_initialization,33,original_grid
conv3,baseline,326.660066636,0.9295037481430871,0.28728759316457914,0.5464329721177746,ConvWeight_0,reconstructed_initialization,34,refined_grid
conv3,baseline,355.689330449,0.9246488479822028,0.28768650848394767,0.5470959934173452,ConvWeight_0,reconstructed_initialization,34,refined_grid
conv3,baseline,387.298334621,0.9134332340276606,0.2999699213140089,0.5461953801164027,ConvWeight_0,reconstructed_initialization,31,refined_grid
conv3,baseline,404.141105702,0.9019773965148342,0.3082281933772472,0.5437556351663418,ConvWeight_0,reconstructed_initialization,31,refined_grid
conv3,baseline,421.716332651,0.890240352748925,0.31594575999466756,0.540342571254506,ConvWeight_0,reconstructed_initialization,31,refined_grid
conv3,baseline,459.192951084,0.8648113155733513,0.33475895949118273,0.5246717602053728,ConvWeight_0,reconstructed_initialization,31,refined_grid
conv3,baseline,500.0,0.8403284415941776,0.3587706110532809,0.5771015251011823,ConvWeight_0,reconstructed_initialization,31,original_grid
conv3,baseline,750.0,0.6966297613989499,0.4790166541397919,0.9233327375040797,ConvWeight_0,reconstructed_initialization,26,original_grid
conv3,baseline,1000.0,0.5199856525639209,0.5474526350412879,1.099602198968014,ConvWeight_0,reconstructed_initialization,31,original_grid
conv3,baseline,3000.0,-0.43606641292519505,0.938087964114371,1.3418176648951945,ConvWeight_0,reconstructed_initialization,25,original_grid
conv3,baseline,10000.0,-0.6202959057886972,1.5430766345457592,4.19770914264526,ConvWeight_0,reconstructed_initialization,18,original_grid
conv3,legacy,1e-05,0.9923741828599915,0.01266075313108422,0.12493320286280532,ConvWeight_0,best_validation,24,original_grid
conv3,legacy,3e-05,0.9990691302617374,0.0026343756806302804,0.043138569598345916,ConvWeight_0,best_validation,24,original_grid
conv3,legacy,0.0001,0.9999219473312735,0.0006303366483981891,0.012496352592318426,ConvWeight_0,best_validation,24,original_grid
conv3,legacy,0.0003,0.999991245851437,0.0011211837581387497,0.004194012564143946,ConvWeight_0,best_validation,24,original_grid
conv3,legacy,0.001,0.9999609247113058,0.003262728988660905,0.00943854845211708,ConvWeight_0,reconstructed_initialization,24,original_grid
conv3,legacy,0.002,0.9999494080898782,0.005469209078684912,0.010837563690195059,ConvWeight_0,reconstructed_initialization,17,original_grid
conv3,legacy,0.003,0.9998908729821178,0.005911471588622492,0.015865291198730376,ConvWeight_0,reconstructed_initialization,17,original_grid
conv3,legacy,0.005,0.9997970977389014,0.010564111477940934,0.02262677286628734,ConvWeight_0,reconstructed_initialization,17,original_grid
conv3,legacy,0.0075,0.9997009608738847,0.01475887684778941,0.028354202336717507,ConvWeight_0,reconstructed_initialization,17,original_grid
