interpretation,architecture,scheme,injected_beta,seed,training_sigma,epochs,state,existing_bundle,existing_tracker,existing_plan
latest_p99_div10,conv2,baseline,100.0,0,0.0001,30,complete_beta_match,paper_ready_results/bundles/baseline_read_noise_20260916/conv2/beta_100/sigma_0.0001/seed0,baseline_read_noise_run_status_20260916.csv,
latest_p99_div10,conv2,baseline,100.0,0,0.0003,30,complete_beta_match,paper_ready_results/bundles/baseline_read_noise_20260916/conv2/beta_100/sigma_0.0003/seed0,baseline_read_noise_run_status_20260916.csv,
latest_p99_div10,conv2,baseline,100.0,0,0.0005,30,complete_beta_match,paper_ready_results/bundles/baseline_read_noise_20260916/conv2/beta_100/sigma_0.0005/seed0,baseline_read_noise_run_status_20260916.csv,
latest_p99_div10,conv2,ours,10.0,0,0,30,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv2/ours/seed0,current_contract_run_status.csv,
latest_p99_div10,conv2,ours,10.0,1,0,30,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv2/ours/seed1,current_contract_run_status.csv,
latest_p99_div10,conv2,ours,10.0,2,0,30,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv2/ours/seed2,current_contract_run_status.csv,
latest_p99_div10,conv2,ours,10.0,0,1e-05,30,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv2/ours/sigma_1e-05/seed0,read_noise_run_status_20260914.csv,
latest_p99_div10,conv2,ours,10.0,0,3e-05,30,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv2/ours/sigma_3e-05/seed0,read_noise_run_status_20260914.csv,
latest_p99_div10,conv2,ours,10.0,0,0.0001,30,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv2/ours/sigma_0.0001/seed0,read_noise_run_status_20260914.csv,
latest_p99_div10,conv2,ours,10.0,0,0.0003,30,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv2/ours/sigma_0.0003/seed0,read_noise_run_status_20260914.csv,
latest_p99_div10,conv2,ours,10.0,0,0.0005,30,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv2/ours/sigma_0.0005/seed0,read_noise_run_status_20260914.csv,
latest_p99_div10,conv2,legacy,3.0,0,0,30,missing,,,
latest_p99_div10,conv2,legacy,3.0,1,0,30,missing,,,
latest_p99_div10,conv2,legacy,3.0,2,0,30,missing,,,
latest_p99_div10,conv2,legacy,3.0,0,1e-05,30,missing,,,
latest_p99_div10,conv2,legacy,3.0,0,3e-05,30,missing,,,
latest_p99_div10,conv2,legacy,3.0,0,0.0001,30,missing,,,
latest_p99_div10,conv2,legacy,3.0,0,0.0003,30,missing,,,
latest_p99_div10,conv2,legacy,3.0,0,0.0005,30,missing,,,
latest_p99_div10,conv3,baseline,147.682614594,0,0,30,already_declared_unverified,,,docs/eqprop_conv3_p95_read_noise_1em3_plan_20260921.md
latest_p99_div10,conv3,baseline,147.682614594,1,0,30,missing,,,
latest_p99_div10,conv3,baseline,147.682614594,2,0,30,missing,,,
latest_p99_div10,conv3,baseline,147.682614594,0,1e-05,30,missing,,,
latest_p99_div10,conv3,baseline,147.682614594,0,3e-05,30,missing,,,
latest_p99_div10,conv3,baseline,147.682614594,0,0.0001,30,missing,,,
latest_p99_div10,conv3,baseline,147.682614594,0,0.0003,30,missing,,,
latest_p99_div10,conv3,baseline,147.682614594,0,0.0005,30,missing,,,
latest_p99_div10,conv3,ours,2.49274796756,0,0,30,already_declared_unverified,,,docs/eqprop_conv3_p95_read_noise_1em3_plan_20260921.md
latest_p99_div10,conv3,ours,2.49274796756,1,0,30,missing,,,
latest_p99_div10,conv3,ours,2.49274796756,2,0,30,missing,,,
latest_p99_div10,conv3,ours,2.49274796756,0,1e-05,30,missing,,,
latest_p99_div10,conv3,ours,2.49274796756,0,3e-05,30,missing,,,
latest_p99_div10,conv3,ours,2.49274796756,0,0.0001,30,missing,,,
latest_p99_div10,conv3,ours,2.49274796756,0,0.0003,30,missing,,,
latest_p99_div10,conv3,ours,2.49274796756,0,0.0005,30,missing,,,
latest_p99_div10,conv3,legacy,2.81845428732,0,0,30,already_declared_unverified,,,docs/eqprop_conv3_p95_read_noise_1em3_plan_20260921.md
latest_p99_div10,conv3,legacy,2.81845428732,1,0,30,missing,,,
latest_p99_div10,conv3,legacy,2.81845428732,2,0,30,missing,,,
latest_p99_div10,conv3,legacy,2.81845428732,0,1e-05,30,missing,,,
latest_p99_div10,conv3,legacy,2.81845428732,0,3e-05,30,missing,,,
latest_p99_div10,conv3,legacy,2.81845428732,0,0.0001,30,missing,,,
