phase,architecture,model_seed,injected_beta,checkpoint_role,cohort,parameter_name,count,minimum_cosine,fifth_percentile_cosine,median_cosine,maximum_norm_delta,cosine_failures,norm_failures,combined_failures
selection,conv2,0,200.0,reconstructed_initialization,selection,DenseWeight_0,32,0.9999627371946638,0.9999646652561975,0.9999707771767091,0.0003724309739070397,0,0,0
selection,conv2,0,200.0,best_validation,historical,ConvWeight_0,4,0.9975506439835382,0.9978477480008693,0.9996128372466523,0.013830233330034641,0,0,0
selection,conv2,0,200.0,best_validation,historical,ConvWeight_1,4,0.9970671584965602,0.9972252911102659,0.9987522131415576,0.002150887918233372,0,0,0
selection,conv2,0,200.0,best_validation,historical,DenseWeight_0,4,0.9999998735795889,0.9999998766221381,0.9999999215716913,9.164248970309314e-05,0,0,0
selection,conv2,0,200.0,best_validation,selection,ConvWeight_0,32,0.9980265792877405,0.9986299124865613,0.9996665168152231,0.026914401799390888,0,0,0
selection,conv2,0,200.0,best_validation,selection,ConvWeight_1,32,0.9966849693569214,0.9980618679731043,0.9992514301577404,0.011373469984718474,0,0,0
selection,conv2,0,200.0,best_validation,selection,DenseWeight_0,32,0.9999995581109812,0.9999998011052863,0.9999999564576273,0.00019678633331907824,0,0,0
selection,conv2,0,300.0,reconstructed_initialization,historical,ConvWeight_0,4,0.9865689639996479,0.9879415664216402,0.9957602905749405,0.07640044216128714,1,0,1
selection,conv2,0,300.0,reconstructed_initialization,historical,ConvWeight_1,4,0.9933161306094088,0.9933912766658848,0.9945644343717269,0.018623089998275274,0,0,0
selection,conv2,0,300.0,reconstructed_initialization,historical,DenseWeight_0,4,0.9998811523729487,0.9998820034477426,0.9998944919310894,0.0008154899562903996,0,0,0
selection,conv2,0,300.0,reconstructed_initialization,selection,ConvWeight_0,32,0.9733545459898693,0.9785331883704677,0.9960011632397687,0.09074819844232217,6,0,6
selection,conv2,0,300.0,reconstructed_initialization,selection,ConvWeight_1,32,0.9938038181004535,0.9941835253359705,0.9951324573424032,0.022033706531881917,0,0,0
selection,conv2,0,300.0,reconstructed_initialization,selection,DenseWeight_0,32,0.9998731883237604,0.9998787805007902,0.999900444737,0.000889491295036553,0,0,0
selection,conv2,0,300.0,best_validation,historical,ConvWeight_0,4,0.996476310210547,0.9969115342783078,0.9994763807109488,0.016370311063653827,0,0,0
selection,conv2,0,300.0,best_validation,historical,ConvWeight_1,4,0.9961931703210491,0.9963551177762584,0.998164698593873,0.0033739789437750678,0,0,0
selection,conv2,0,300.0,best_validation,historical,DenseWeight_0,4,0.9999997624955297,0.9999997684669829,0.9999998500085681,0.00011094065122631611,0,0,0
selection,conv2,0,300.0,best_validation,selection,ConvWeight_0,32,0.9962766523839828,0.9979524550309881,0.9994726870829005,0.03856161224668144,0,0,0
selection,conv2,0,300.0,best_validation,selection,ConvWeight_1,32,0.9936336897378975,0.9971718637927444,0.9988554368504803,0.017775806627636774,0,0,0
selection,conv2,0,300.0,best_validation,selection,DenseWeight_0,32,0.999998538051196,0.9999993805220221,0.9999998633568068,0.0002864988263958205,0,0,0
selection,conv1,0,100.0,reconstructed_initialization,historical,ConvWeight_0,4,0.9997586988951401,0.9997691563623121,0.9998648629532636,0.003193783380884773,0,0,0
selection,conv1,0,100.0,reconstructed_initialization,historical,DenseWeight_0,4,0.9999999863535124,0.9999999864296307,0.9999999875217322,2.469085955630157e-06,0,0,0
selection,conv1,0,100.0,reconstructed_initialization,selection,ConvWeight_0,32,0.9997107382460938,0.9997671317536722,0.9998609794002482,0.0024766683869257597,0,0,0
selection,conv1,0,100.0,reconstructed_initialization,selection,DenseWeight_0,32,0.9999999831605386,0.9999999842338694,0.9999999867270704,3.2364237495467353e-06,0,0,0
