architecture,scheme,layer_index,state_layer,kind,element_count,sum_squared_delta,pooled_rms,signed_mean,mean_absolute_delta,batch_rms_n_defined,batch_rms_mean,batch_rms_median,batch_rms_p10,batch_rms_p90,batch_rms_std,rms_over_output_rms
conv1,legacy,0,H1,negative_minus_free,7225344,2.478871673333804,0.0005857303906141047,-1.1610315166181355e-07,0.0003108608788666685,36,0.0005816877971546863,0.0005603647377904204,0.0005043248653999574,0.0006708360509778409,6.967235497877376e-05,0.003637416628728938
conv1,legacy,0,H1,negative_minus_matched_zero,7225344,2.4788694653153684,0.0005857301297486871,-6.333370440632078e-08,0.0003108609132500368,36,0.0005816875319554938,0.0005603649302276003,0.000504324342497196,0.0006708363347645895,6.967237662616657e-05,0.0036374150323679995
conv1,legacy,0,H1,positive_minus_free,7225344,2.4790219077840607,0.0005857481397277308,8.776295328680463e-07,0.0003108404304507684,36,0.000581702166149329,0.0005603124309435093,0.0005041381150272764,0.0006708899372655454,6.970243514916314e-05,0.0036375242356624297
conv1,legacy,0,H1,positive_minus_matched_zero,7225344,2.4790244733904934,0.0005857484428309025,9.303989801235388e-07,0.000310840385392877,36,0.0005817024730294446,0.000560312301239708,0.0005041386636580349,0.0006708898148118428,6.970242082477483e-05,0.003637526094207369
conv1,legacy,0,H1,zero_nudge_drift,7225344,5.7800254640447656e-08,8.944078689924052e-08,-5.276944725549258e-08,5.348466517429914e-08,36,8.703458706834407e-08,8.832722515452143e-08,6.249447434942912e-08,1.0919370516472933e-07,2.089898188903322e-08,0.27188031442736377
conv1,legacy,1,Output,centered_halfspan,11520,298.71856304996476,0.16102928559833282,0.0004927907377888589,0.10938459268577887,36,0.15987848623233658,0.1584176725828209,0.13766139040384334,0.1826378238455359,0.019489789688212383,1.0
conv1,legacy,1,Output,negative_minus_free,11520,298.7183483086255,0.16102922771834988,-0.0004913093633703374,0.10938460623282249,36,0.1598784333183458,0.1584176308299507,0.13766134421068266,0.18263763957255275,0.01948974427203021,1.0
conv1,legacy,1,Output,negative_minus_matched_zero,11520,298.71834442793613,0.16102922667237396,-0.0004910691737872691,0.10938460589520083,36,0.159878432257451,0.15841763074734233,0.1376613421264297,0.18263763900978353,0.019489744334383878,1.0
conv1,legacy,1,Output,positive_minus_free,11520,298.718777967372,0.16102934352575116,0.0004942721122073801,0.10938457913873524,36,0.15987853919257736,0.15841771437517907,0.1376614366399731,0.1826380081947237,0.019489835117200132,1.0
conv1,legacy,1,Output,positive_minus_matched_zero,11520,298.71878186656147,0.16102934457671272,0.0004945123017904483,0.10938457947635692,36,0.15987854025844278,0.1584177144621979,0.13766143872803993,0.18263800876199227,0.019489835055276933,1.0
conv1,legacy,1,Output,zero_nudge_drift,11520,1.2467178426862733e-09,3.289711764811709e-07,-2.4018958306847023e-07,2.43298654041155e-07,36,3.189827242475e-07,3.27207493730063e-07,2.2323368332676754e-07,4.039824364357637e-07,8.159027202759015e-08,1.0
conv1,ours,0,H1,centered_halfspan,7225344,62.031595331921224,0.002930064703889816,5.429267499442356e-06,0.0015862856370437352,36,0.0029094155743904703,0.0028562688751438397,0.0025315055079852943,0.0033834217335895465,0.00035217230527533235,0.015841455846700894
conv1,ours,0,H1,negative_minus_free,7225344,62.10778183526374,0.0029318634879018737,-1.3550406160038183e-05,0.0015861044552060854,36,0.002911216382582982,0.0028584247073992824,0.002534246343155461,0.0033840282039188626,0.00035226356516569236,0.015851334903785663
conv1,ours,0,H1,negative_minus_matched_zero,7225344,62.103968425900476,0.002931773478510376,-3.3169027153990992e-06,0.001586069418580187,36,0.00291112445193376,0.002858378094217221,0.0025341195486062538,0.0033839027005057734,0.0003522744695914194,0.015850861247633376
conv1,ours,0,H1,positive_minus_free,7225344,62.194033925105046,0.0029338985921186504,-2.69187116115347e-06,0.0015865656355650952,36,0.0029131174893040354,0.002859594661004024,0.0025331303281130183,0.0033908885414461734,0.0003535238090378927,0.015862028099397116
conv1,ours,0,H1,positive_minus_matched_zero,7225344,62.19398164308812,0.0029338973589604325,7.541632283485612e-06,0.0015865019529348132,36,0.0029131158753752722,0.0028595693080057053,0.0025331638801951543,0.0033908792946361777,0.00035352696174635053,0.015862009890602588
conv1,ours,0,H1,zero_nudge_drift,7225344,0.0021881138381964387,1.740226156277133e-05,-1.0233503444639084e-05,1.085911378440425e-05,36,1.7002630298543468e-05,1.662266742747426e-05,1.2596205698435738e-05,2.3518518546831323e-05,3.760599251205162e-06,0.27408745321756833
conv1,ours,1,Output,centered_halfspan,11520,394.10933190321583,0.18496183256414683,0.00036984473100587587,0.1255138325449817,36,0.18363274049621975,0.18190800887882524,0.15805692886110423,0.21072298615930063,0.022447564576826742,1.0
conv1,ours,1,Output,negative_minus_free,11520,394.10167946103894,0.18496003684848508,-0.00040518945630458366,0.12551354677429785,36,0.1836310356307881,0.18190846667908175,0.15805646471479384,0.21072640033253842,0.02244669077083936,1.0
conv1,ours,1,Output,negative_minus_matched_zero,11520,394.10103370561126,0.18495988531526047,-0.0003599655462016394,0.1255134025211053,36,0.1836308814110828,0.18190827013915734,0.1580562126510289,0.21072634706793253,0.022446704148037913,1.0
conv1,ours,1,Output,positive_minus_free,11520,394.11707119234626,0.18496364864151024,0.0003345000057071682,0.12551414403766886,36,0.18363446614761847,0.1819075654762869,0.1580574293019789,0.21071958865443513,0.022448436033676383,1.0
conv1,ours,1,Output,positive_minus_matched_zero,11520,394.11764473984346,0.18496378322766105,0.0003797239158101126,0.12551426256885811,36,0.1836346028075539,0.18190774908640547,0.15805764753022006,0.21071963217278816,0.022448426781428166,1.0
conv1,ours,1,Output,zero_nudge_drift,11520,4.6439287947085955e-05,6.349163873968927e-05,-4.522391010294404e-05,4.791007582090028e-05,36,6.183703771839485e-05,6.0844800094434406e-05,4.5514197020862907e-05,8.692933015115337e-05,1.4604580903989287e-05,1.0
conv2,baseline,0,H1,centered_halfspan,7225344,0.040331622920011835,7.471255433271155e-05,5.213330025902044e-08,1.6520326331871415e-05,36,7.352771267006592e-05,7.24916935885097e-05,5.9593686262317525e-05,8.647350811747469e-05,1.3440965950999772e-05,0.0008393080860166163
conv2,baseline,0,H1,negative_minus_free,7225344,0.04032546316622981,7.470684877862185e-05,-3.046862008634527e-08,1.6521638379587934e-05,36,7.352384674018888e-05,7.253960302590856e-05,5.9580237888358706e-05,8.657615649588585e-05,1.3430093860383845e-05,0.0008392496137505953
