architecture,scheme,checkpoint_role,grouping,cosine_threshold,norm_gate,current_anchor,ratio_to_anchor,selected_beta,upper_edge_open,passing_regions,passing_count
conv1,legacy,best_validation,layerwise,0.99,True,3,20.0,60.0,False,"[{'low': 0.03, 'high': 60.0}]",11
conv1,legacy,best_validation,whole_gradient,0.9,False,3,1000.0,3000.0,True,"[{'low': 0.03, 'high': 3000.0}]",17
conv1,legacy,best_validation,whole_gradient,0.95,False,3,300.0,900.0,False,"[{'low': 0.03, 'high': 900.0}]",16
conv1,legacy,best_validation,whole_gradient,0.99,False,3,300.0,900.0,False,"[{'low': 0.03, 'high': 900.0}]",16
conv1,legacy,best_validation,whole_gradient,0.9,True,3,1000.0,3000.0,True,"[{'low': 0.03, 'high': 3000.0}]",17
conv1,legacy,best_validation,whole_gradient,0.95,True,3,300.0,900.0,False,"[{'low': 0.03, 'high': 900.0}]",16
conv1,legacy,best_validation,whole_gradient,0.99,True,3,300.0,900.0,False,"[{'low': 0.03, 'high': 900.0}]",16
conv2,baseline,both,layerwise,0.9,False,100,5.0,500.0,False,"[{'low': 1.0, 'high': 500.0}]",8
conv2,baseline,both,layerwise,0.95,False,100,5.0,500.0,False,"[{'low': 1.0, 'high': 500.0}]",8
conv2,baseline,both,layerwise,0.99,False,100,1.0,100.0,False,"[{'low': 1.0, 'high': 100.0}]",5
conv2,baseline,both,layerwise,0.9,True,100,3.0,300.0,False,"[{'low': 1.0, 'high': 300.0}]",7
conv2,baseline,both,layerwise,0.95,True,100,3.0,300.0,False,"[{'low': 1.0, 'high': 300.0}]",7
conv2,baseline,both,layerwise,0.99,True,100,1.0,100.0,False,"[{'low': 1.0, 'high': 100.0}]",5
conv2,baseline,both,whole_gradient,0.9,False,100,30.0,3000.0,False,"[{'low': 1.0, 'high': 3000.0}]",12
conv2,baseline,both,whole_gradient,0.95,False,100,20.0,2000.0,False,"[{'low': 1.0, 'high': 2000.0}]",11
conv2,baseline,both,whole_gradient,0.99,False,100,10.0,1000.0,False,"[{'low': 1.0, 'high': 1000.0}]",10
conv2,baseline,both,whole_gradient,0.9,True,100,20.0,2000.0,False,"[{'low': 1.0, 'high': 2000.0}]",11
conv2,baseline,both,whole_gradient,0.95,True,100,20.0,2000.0,False,"[{'low': 1.0, 'high': 2000.0}]",11
conv2,baseline,both,whole_gradient,0.99,True,100,10.0,1000.0,False,"[{'low': 1.0, 'high': 1000.0}]",10
conv2,baseline,reconstructed_initialization,layerwise,0.9,False,100,5.0,500.0,False,"[{'low': 1.0, 'high': 500.0}]",8
