architecture,scheme,checkpoint_role,T,K,injected_beta,base_beta,layer_index,state_layer_name,phase,raw_rms,controlled_rms,zero_drift_rms,raw_to_control_ratio,drift_to_control_ratio,response_over_max_T_response,max_reference_T,free_state_rms,free_state_mean,batch_median_drift_to_control,batch_p95_drift_to_control,batch_max_drift_to_control,source_checkpoint_epoch
conv3,baseline,best_validation,10,8,10,10.0,4,Layer_4,positive,0.0020441959345465608,0.00204416786260959,1.1477564641431806e-06,1.000013732696558,0.0005614785777318462,1.000000320290906,24,0.3508556769689769,-0.16419551137261074,0.0005932252734870733,0.0008607766728168663,0.0008844419743276884,24
conv3,baseline,best_validation,10,8,10,10.0,4,Layer_4,negative,0.002044141339653011,0.002044168767402461,1.1477564641431806e-06,0.9999865824437361,0.000561478329209404,1.0000003202890972,24,0.3508556769689769,-0.16419551137261074,0.0005932252736573686,0.0008607766728151916,0.0008844420868494845,24
conv3,legacy,reconstructed_initialization,10,8,0.001,2.44140625e-07,1,Layer_1,positive,7.344747013041445e-09,3.1101484459821083e-09,6.612252529974735e-09,2.361542267389155,2.1260247363809506,1.0000000005100398,24,6.826719202438843,-0.00450825783199234,2.1198931534452723,2.663311017943067,2.8408690232026372,0
conv3,legacy,reconstructed_initialization,10,8,0.001,2.44140625e-07,1,Layer_1,negative,7.269785820815798e-09,3.110495954764825e-09,6.612252529974735e-09,2.3371789986351046,2.1257872140440277,1.000000000598459,24,6.826719202438843,-0.00450825783199234,2.1197613424120005,2.6625422595984927,2.8384384823904547,0
conv3,legacy,reconstructed_initialization,10,8,0.001,2.44140625e-07,2,Layer_2,positive,6.02433323680013e-08,5.817448073296166e-08,1.521553103292707e-08,1.0355628723965118,0.2615499243176906,1.0000000004799876,24,0.4142620885835435,-0.01107991837675239,0.26065772442770874,0.3292009487975399,0.3636395350259548,0
conv3,legacy,reconstructed_initialization,10,8,0.001,2.44140625e-07,2,Layer_2,negative,6.002243711785645e-08,5.817716297978837e-08,1.521553103292707e-08,1.031718187060946,0.2615378656091081,1.000000000487614,24,0.4142620885835435,-0.01107991837675239,0.2606757600509815,0.3291784713254894,0.36348741470997836,0
conv3,legacy,reconstructed_initialization,10,8,0.001,2.44140625e-07,3,Layer_3,positive,1.225173276654411e-05,1.2250982766574086e-05,1.2902007393362918e-07,1.0000612195759568,0.010531406042432044,1.000000000360293,24,0.37155318395954995,0.02643016976162039,0.010482198185787907,0.013299890913348739,0.015049920629705804,0
conv3,legacy,reconstructed_initialization,10,8,0.001,2.44140625e-07,3,Layer_3,negative,1.2251618063528991e-05,1.225100924678091e-05,1.2902007393362918e-07,1.0000496952321085,0.010531383279098467,1.0000000003604095,24,0.37155318395954995,0.02643016976162039,0.010482192275262089,0.013299718334675541,0.015050036900811449,0
conv3,legacy,reconstructed_initialization,10,8,0.001,2.44140625e-07,4,Layer_4,positive,0.04601386870453231,0.0460138687074658,3.399890104720223e-07,0.9999999999362477,7.388837757448956e-06,1.0000000003472553,24,0.3840335081715972,0.1079437589854856,7.353154591317355e-06,9.34697602163224e-06,1.0571166839244405e-05,0
conv3,legacy,reconstructed_initialization,10,8,0.001,2.44140625e-07,4,Layer_4,negative,0.04601386875066729,0.046013868745220975,3.399890104720223e-07,1.0000000001183624,7.388837751386287e-06,1.0000000003472553,24,0.3840335081715972,0.1079437589854856,7.353154583737924e-06,9.34697598801869e-06,1.0571166878189999e-05,0
conv3,legacy,best_validation,10,8,0.001,2.44140625e-07,1,Layer_1,positive,2.4013621949568057e-10,2.4021825272768244e-10,1.7981434930188097e-12,0.9996585054171764,0.007485457381364068,0.9999999999924124,24,24.851043594331678,-1.1918087609611148,0.0037838319535503408,0.013522528871775984,0.02792778522524059,27
conv3,legacy,best_validation,10,8,0.001,2.44140625e-07,1,Layer_1,negative,2.4031412005732467e-10,2.402186588369336e-10,1.7981434930188097e-12,1.0003973930287233,0.0074854447265873475,1.0000000000226545,24,24.851043594331678,-1.1918087609611148,0.0037838323869754257,0.013522530255579267,0.02792778844021247,27
