architecture,scheme,epoch,checkpoint_role,parameter,layer_index,parameter_count,sigma,n_batches,n_comparisons,ep_l2_mean,ep_rms_mean,ep_l2_median,ep_rms_median,ep_l2_p10,ep_rms_p10,ep_l2_p90,ep_rms_p90,ep_l2_std,ep_rms_std,bptt_l2_mean,bptt_rms_mean,bptt_l2_median,bptt_rms_median,bptt_l2_p10,bptt_rms_p10,bptt_l2_p90,bptt_rms_p90,bptt_l2_std,bptt_rms_std,clean_ep_l2_mean,clean_ep_rms_mean,clean_ep_l2_median,clean_ep_rms_median,clean_ep_l2_p10,clean_ep_rms_p10,clean_ep_l2_p90,clean_ep_rms_p90,clean_ep_l2_std,clean_ep_rms_std,ep_over_clean_ep_mean,ep_over_clean_ep_median,ep_over_clean_ep_p10,ep_over_clean_ep_p90,ep_over_clean_ep_std,ep_zero_fraction_mean,ep_zero_fraction_median,ep_zero_fraction_p10,ep_zero_fraction_p90,ep_zero_fraction_std
conv3,baseline,30,maximum_validation_accuracy,DenseWeight_0,3,250880,3e-05,36,288,0.03292551808399783,6.57354434198373e-05,0.03169398849588626,6.327670781687321e-05,0.02336884728897098,4.6655652762456053e-05,0.046097053150375766,9.203227179166165e-05,0.007640441334261645,1.525405910848949e-05,0.03292027738077915,6.572498041211687e-05,0.031664489229862286,6.321781284891253e-05,0.02333276772423019,4.658362029874265e-05,0.046114963583901374,9.206802977993821e-05,0.007645199316390038,1.5263558368734864e-05,0.03292004266231544,6.572451179922364e-05,0.03166426708137184,6.321736933183599e-05,0.023332096370990225,4.658227994920562e-05,0.0461133318856786,9.20647721119517e-05,0.007645196250815192,1.526355224834759e-05,1.000202821527715,1.0001693547375683,0.9986872867393982,1.0017570118506927,0.0012480378633034767,0.0,0.0,0.0,0.0,0.0
conv3,baseline,30,maximum_validation_accuracy,DenseWeight_0,3,250880,0.0001,36,288,0.03297278326649999,6.582980784934065e-05,0.03179589488982286,6.348016283846616e-05,0.023497887707495967,4.691328057287292e-05,0.04608449792810117,9.200720542516287e-05,0.007622213175450845,1.5217666785091625e-05,0.03292027738077915,6.572498041211687e-05,0.031664489229862286,6.321781284891253e-05,0.02333276772423019,4.658362029874265e-05,0.046114963583901374,9.206802977993821e-05,0.007645199316390038,1.5263558368734864e-05,0.03292004266231544,6.572451179922364e-05,0.03166426708137184,6.321736933183599e-05,0.023332096370990225,4.658227994920562e-05,0.0461133318856786,9.20647721119517e-05,0.007645196250815192,1.526355224834759e-05,1.0018375892658737,1.001598637257887,0.996729156504679,1.0069679949584962,0.0042503363845116885,0.0,0.0,0.0,0.0,0.0
conv3,baseline,30,maximum_validation_accuracy,DenseWeight_0,3,250880,0.0003,36,288,0.03337062868890016,6.662410196454056e-05,0.032374323753241244,6.463498985520852e-05,0.02419070280867356,4.829647848543676e-05,0.04616240099050514,9.216273805301171e-05,0.007517197703088775,1.5008004521796233e-05,0.03292027738077915,6.572498041211687e-05,0.031664489229862286,6.321781284891253e-05,0.02333276772423019,4.658362029874265e-05,0.046114963583901374,9.206802977993821e-05,0.007645199316390038,1.5263558368734864e-05,0.03292004266231544,6.572451179922364e-05,0.03166426708137184,6.321736933183599e-05,0.023332096370990225,4.658227994920562e-05,0.0461133318856786,9.20647721119517e-05,0.007645196250815192,1.526355224834759e-05,1.015349122843505,1.013561720478118,0.9981416684092691,1.033849868292457,0.01435308653980947,0.0,0.0,0.0,0.0,0.0
conv3,baseline,30,maximum_validation_accuracy,DenseWeight_0,3,250880,0.0005,36,288,0.03414290355395752,6.816594044273944e-05,0.03317268181933458,6.622890316428886e-05,0.02534012840007219,5.059129434029857e-05,0.0463954180441366,9.262795409929444e-05,0.007342726215966525,1.4659674070599063e-05,0.03292027738077915,6.572498041211687e-05,0.031664489229862286,6.321781284891253e-05,0.02333276772423019,4.658362029874265e-05,0.046114963583901374,9.206802977993821e-05,0.007645199316390038,1.5263558368734864e-05,0.03292004266231544,6.572451179922364e-05,0.03166426708137184,6.321736933183599e-05,0.023332096370990225,4.658227994920562e-05,0.0461133318856786,9.20647721119517e-05,0.007645196250815192,1.526355224834759e-05,1.0414131163252986,1.037876612091282,1.0086002952943212,1.0779761319130494,0.02785261407206233,0.0,0.0,0.0,0.0,0.0
conv3,ours,23,maximum_validation_accuracy,ConvWeight_0,0,1152,0,36,36,0.002014774731463441,5.936086979921269e-05,0.0016520042208187423,4.867264112873881e-05,0.0009433010106791734,2.7792272556306976e-05,0.0035030045132197086,0.00010320826024269738,0.0013414718087927525,3.9523492198664124e-05,0.002016942263441309,5.942473132254557e-05,0.0016541223049929676,4.8735045782185416e-05,0.0009487896952443929,2.7953984476134502e-05,0.0034917500537562157,0.00010287667255081301,0.0013420369363405977,3.954014242871899e-05,0.002014774731463441,5.936086979921269e-05,0.0016520042208187423,4.867264112873881e-05,0.0009433010106791734,2.7792272556306976e-05,0.0035030045132197086,0.00010320826024269738,0.0013414718087927525,3.9523492198664124e-05,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
conv3,ours,23,maximum_validation_accuracy,ConvWeight_0,0,1152,1e-05,36,288,0.030629884387603896,0.000902441623226445,0.03052516325046904,0.0008993562471347106,0.02775965314471272,0.0008178766242505348,0.03372329077814515,0.0009935819830480083,0.0023213780184510734,6.839425577267269e-05,0.002016942263441309,5.942473132254557e-05,0.0016541223049929676,4.8735045782185416e-05,0.0009472775582236369,2.7909432711907013e-05,0.0036616564718771442,0.00010788258840166407,0.0013255696018205495,3.905496893258593e-05,0.0020147747314634415,5.9360869799212704e-05,0.0016520042208187423,4.867264112873881e-05,0.000937106340569242,2.7609760337892558e-05,0.0036641103415451745,0.00010795488623009791,0.0013250114086156611,3.903852300756973e-05,20.145323569580203,18.609900034475935,8.408363761300228,32.44542753462971,10.013804182765098,0.0,0.0,0.0,0.0,0.0
conv3,ours,23,maximum_validation_accuracy,ConvWeight_0,0,1152,3e-05,36,288,0.09163078201823624,0.002699697805438384,0.09139869791592659,0.0026928599619988527,0.08306156099285884,0.0024472247097496046,0.10100300330472173,0.002975829523207334,0.00693165204319816,0.0002042257568571253,0.002016942263441309,5.942473132254557e-05,0.0016541223049929676,4.8735045782185416e-05,0.0009472775582236369,2.7909432711907013e-05,0.0036616564718771442,0.00010788258840166407,0.0013255696018205495,3.905496893258593e-05,0.0020147747314634415,5.9360869799212704e-05,0.0016520042208187423,4.867264112873881e-05,0.000937106340569242,2.7609760337892558e-05,0.0036641103415451745,0.00010795488623009791,0.0013250114086156611,3.903852300756973e-05,60.34519527577773,55.966870570169775,24.99421846516147,97.43221409155586,30.087170302539715,0.0,0.0,0.0,0.0,0.0
conv3,ours,23,maximum_validation_accuracy,ConvWeight_0,0,1152,0.0001,36,288,0.3053326609279343,0.008995949794161465,0.3046853834032619,0.008976879197202903,0.2767263968815068,0.008153129657009723,0.33644477038142445,0.009912599109644007,0.02307428114945534,0.0006798325279910332,0.002016942263441309,5.942473132254557e-05,0.0016541223049929676,4.8735045782185416e-05,0.0009472775582236369,2.7909432711907013e-05,0.0036616564718771442,0.00010788258840166407,0.0013255696018205495,3.905496893258593e-05,0.0020147747314634415,5.9360869799212704e-05,0.0016520042208187423,4.867264112873881e-05,0.000937106340569242,2.7609760337892558e-05,0.0036641103415451745,0.00010795488623009791,0.0013250114086156611,3.903852300756973e-05,201.11366372833888,186.59413841545881,83.26222099606413,324.9181990204607,100.31009488074562,0.0,0.0,0.0,0.0,0.0
conv3,ours,23,maximum_validation_accuracy,ConvWeight_0,0,1152,0.0003,36,288,0.9159666548189576,0.02698692637346844,0.9137467869578884,0.02692152288938927,0.8300062877399158,0.024454294770348637,1.0090494857021908,0.029729405578867392,0.06919422902434401,0.0020386545234203617,0.002016942263441309,5.942473132254557e-05,0.0016541223049929676,4.8735045782185416e-05,0.0009472775582236369,2.7909432711907013e-05,0.0036616564718771442,0.00010788258840166407,0.0013255696018205495,3.905496893258593e-05,0.0020147747314634415,5.9360869799212704e-05,0.0016520042208187423,4.867264112873881e-05,0.000937106340569242,2.7609760337892558e-05,0.0036641103415451745,0.00010795488623009791,0.0013250114086156611,3.903852300756973e-05,603.3290630826955,559.6417460947889,249.8447792043674,974.8873709596775,300.93724150304206,0.0,0.0,0.0,0.0,0.0
conv3,ours,23,maximum_validation_accuracy,ConvWeight_0,0,1152,0.0005,36,288,1.5266057371407447,0.04497805287210453,1.5228140233240148,0.04486633843243251,1.3833101233227376,0.040756165361896135,1.6816579892649701,0.04954632366024145,0.11531398859207537,0.003397470970796862,0.002016942263441309,5.942473132254557e-05,0.0016541223049929676,4.8735045782185416e-05,0.0009472775582236369,2.7909432711907013e-05,0.0036616564718771442,0.00010788258840166407,0.0013255696018205495,3.905496893258593e-05,0.0020147747314634415,5.9360869799212704e-05,0.0016520042208187423,4.867264112873881e-05,0.000937106340569242,2.7609760337892558e-05,0.0036641103415451745,0.00010795488623009791,0.0013250114086156611,3.903852300756973e-05,1005.5462216785113,932.6907415499943,416.4304336344527,1624.8573928401552,501.56351851741846,0.0,0.0,0.0,0.0,0.0
